Well gentlemen, let's see what else you have learned.	Na, ponai, pažiūrėkime, ko dar išmokote.
You can't even pronounce the English article!	Negali net angliško artikelio ištarti!
Mark Anthony hadn't held his oration?	Markas Antonijus nebūtų pasakęs savo kalbos?
- How did you get those photos?	- Iš kur gavai tas nuotraukas?
Somebody must have put them in my briefcase.	Tikriausiai kas nors jas įkišo į mano portfelį.
And you expect me to believe that?	Ir tu manai, kad aš tuo patikėsiu?
They're at the "Blue Angel" every night... with women.	Jie "Mėlynajame Angele" kasnakt... su moterimis.
But as formypianola No one gets to touch it	Bet mano pianolos Niekas negaus paliesti
Guys, tonight I'm gonna pick someone	Ponai, šįvakar aš ką nors išsirinksiu
Guys, tonight I'm gonna pick someone	Ponai, šįvakar aš ką nors išsirinksiu
A man whose heart is glowing with love	Vyrą, kurio širdis spindi meile
Guys, tonight I'm gonna pick someone	Ponai, šįvakar aš ką nors išsirinksiu
So you are... the artist Lola?	Taigi jūs... artistė Lola?
I am Immanuel Rath... professor at the local college!	Aš esu lmmanuelis Rathas... Vietinės gimnazijos profesirius!
Then you might at least take off your hat!	Tuomet galėtumėt bent nusiimti skrybėlę!
What do you want here, anyway?	Ko jums čia vis dėlto, reikia?
I am here in official capacity.	Aš atėjau su oficialiu reikalu.
Do you think I'm running a kindergarten?	Manote, kad aš laikau vaikų darželį?
Now you don't say anything anymore.	Daugiau nieko nepasakysit?
If you behave well, you can stay.	Jei gerai elgsies, gali pasilikti.
I don't want to hear any complaints!	Nenoriu girdėti jokių skundų!
How do you like me now?	Kaip aš tau dabar patinku?
If you don't want to drink, you can leave!	Jei nenori gerti, gali išeiti!
You think I give a damn about "art"?	Manai mane nors kiek kaso "menas"?
What fruit are you hanging out with now?	Su kokiu tipu tu čia dabar šlaistaisi?
He's a professor at the local college.	Jis vietinės gimnazijos profesorius.
Am I the director or not?	Aš direktorius ar ne?
An old ox, that's what you are.	Senas bulius, štai kas tu.
Professor, let me commend you on your taste.	Profesoriau, leiskite man pagirti jūsų skonį.
I am here because you harbor my students.	Aš atėjau, nes jūs vedate iš kelio mano mokinius.
Where did you leave your hat this time?	Kur šįkart palikote savo skrybėlę?
Leave me alone with that English nonsense!	Atstok nuo manęs su savo angliškom nesąmonėm!
The young students are here again.	Jaunieji mokiniai vėl čia.
And you didn't come because of me at all?	Ir tu atėjai nė trupučio dėl manęs?
Tonight you're not here in official capacity, I assume.	Šįvakar jūs čia ne oficialiu reikalu, manyčiau.
I'm afraid I didn't behave properly last night.	Bijau, kad netinkamai elgiausi praeitą vakarą.
Professor, send me a postcard when you're there.	Profesoriau, atsiųskite atviruką, kai nuvyksite.
Your boys should see you like this.	Jūsų berniukai turėtų jus tokį pamatyti.
Actually, you're a pretty handsome man.	Tiesą sakant, jūs visai patrauklus vyras.
Why are there no drinks being served?	Kodėl niekas neatneša gėrimų?
What do you say to that?	Ir ką jūs apie tai pasakysite?
How dare you molest this lady?	Kaip tu drįsti kabinėtis prie šios damos?
Do you have a subcription to "this lady"?	O jūs užsirašęs pas "šią damą"?
But Professor, you have no right...	Bet Profesoriau, jūs neturite teisės...
Who do you think you are?	Kas manotės esąs?
But Captain, don't make such a noise!	Bet Kapitone, nekelkit tokio triukšmo!
You'll have the police at my neck!	Jūs prišauksite čia policiją!
I'll get the police, you crook!	Aš iškviesiu policiją, tu, sukčiau!
It's a long time since people fought over me.	Jau labai seniai kas nors už mane kovojo.
May I propose a very special...	Norėčiau pasiūlyti ypatingą tostą...
Excuse me, Professor, but the police are here.	Atleiskite, Profesoriau, bet policija jau čia.
The gentleman claims he was assaulted here.	Ponas tvirtina buvę čia užpultas.
He attacked me on the stage!	Jis mane užpuolė scenoje!
Leave me alone with that nonsense.	Atstokit nuo manęs su tom nesąmonėm.
Where are you hiding, you rascal?	Kur slepiesi, niekšeli?
He wanted to kill me, officer!	Jis norėjo mane užmušti, pareigūne!
This man wants to press charges against you.	Šis vyras nori pateikti jums kaltinimus.
What do you mean, "press charges"?	Kaip suprasti, "pateikti kaltinimus"?
- Nobody'll make me shut up!	-Niekas neprivers manęs tylėti!
I won't put up with this!	Aš su tuo nesitaikstysiu!
Take that cigarette out of your mouth!	Išsiimk tą cigaretę iš burnos!
What did you come here for?	Ko jūs čia atėjot?
You haven't heard the last of this!	Tai dar ne viskas!
You haven't heard the last of this!	Jums tai gražiuoju nesibaigs!
For God's sake, what's wrong, Professor?	Dėl Dievo meilės, kas atsitiko, Profesoriau?
The place is half empty already!	Salė jau pustuštė!
You really think this will help?	Tikrai manote, kad padės?
It'll put some marrow in your bones!	Išaugins šiek tiek čiulpų kauluose!
Don't you want to hear Lola sing?	Nenori išgirsti Lolos dainos?
Shines always in the eyes ofa beautiful woman	Visuomet spindi akyse gražios moters
But ifmy eyes at a rendez-vous	Bet jei mano akys rendez-vous
Get drawn to his what do they say?	Nukrypsta kitur ką jie sako?
From head to toe l'm programmed forlove	Nuo galvos iki kojų pirštų aš sutverta meilei
And nothing else what can I do?	Ir niekas kitas Ką aš galiu padaryti?
Dr. Immanuel Rath, Professor at the local college!	Dr. lmmanuelį Rathą, vietinės gimnazijos profesorių!
From head to toe l'm programmed forlove	Nuo galvos iki kojų pirštų aš sutverta meilei
And nothing else what can I do?	Ir niekas kitas Ką aš galiu padaryti?
It is my nature I can only love	Tokia mano prigimtis Galiu tik mylėti
"DO right AND FEAR NO ONE"	"ELKIS TEISINGAI IR NIEKO NEBIJOK"
Say, sweetheart, do you always snore like this?	Sakyk, mielasis, tu visąlaik taip knarki?
I'm afraid I went a little overboard last night.	Bijau, kad truputį padauginau vakar.
You could have that every day.	Gali šitaip pusryčiauti kiekvieną dieną.
I have to go to school.	Turiu skubėti į mokyklą.
It smells like garbage in here!	Čia atsiduota atliekomis!
I'll have you all put in jail!	Aš jus visus į kalėjimą pasodinsiu!
You're talking about my future wife!	Jūs kalbate apie mano būsimą žmoną!
And I forbid any further comment!	Ir draudžiu dar ką nors komentuoti!
The train won't wait for us because of you!	Traukinys nelauks mūsų dėl tavęs!
Don't you have anything to do?	Neturi kuo užsiimti?
Why did I ever marry you!	Ir kam aš tave vedžiau!
How nice of you to come and say goodbye!	Kaip miela, kad atėjai atsisveikinti!
Don't make such a sad face.	Nenutaisyk tokio liūdno veido.
My dear Miss Lola, I brought you something else.	Brangioji panele Lola, aš jums dar šį tą atnešiau.
Will you accept this as a present from me?	Ar priimsite šitai kaip dovaną nuo manęs?
Do you have to babble all the time?	Ar tu turi visąlaik burbuliuoti?
Now I only have this "magician"!	Dabar teturiu tik šitą "fokusininką"!
He'll do one of his tricks again.	Jis vėl demonstruos vieną savo triukų.
You see my hand is empty!	Matote, mano ranka tuščia!
Would you give me my small suitcase?	Ar nepaduotum man mažojo lagamino?
Why did you pack these postcards?	Kam pasiėmei šiuos atvirukus?
Not as long as I own a penny!	To nebus, kol aš turiu bent centą!
You can't see it at first glance	Iš pirmo žvilgsnio nepamatai
But remembershe's a predator watch out forblondes	Bet prisimink, jos plėšrios Saugokis blondinių
Who are you to judge them?	Kas tu toks, kad juos teistum?
No wonder you do poor business!	Nenuostabu, kad nesiseka pardavinėti!
Don't look at me like that!	Nežiūrėk į mane šitaip!
You're not at the college anymore!	Tu jau nebe gimnazijoje!
After all, we live off them.	Šiaip ar taip, mes iš jų gyvenam.
Leave, if you don't like it.	Išeik, jei naptinka.
I'll go... I can't stand it anymore!	Daugiau taip negaliu!
Well, Professor, how are we today?	Na, Profesoriau, kaip šiandien jaučiamės?
I have every reason to be.	Turiu tam priežastį.
You'll be my number one attraction!	Būsi mano atrakcionas numeris vienas!
Don't make fun of the old man!	Nesišaipyk iš senio!
But your husband has become a big shot!	Bet tavo vyras taps didele žvaigžde!
Look at the contract, sealed via telegraph.	Pažiūrėk į kontraktą, kurį patvirtinau telegrafu.
There will be a big announcement.	Ten paskelbsime svarbų pranešimą.
Ask of me what you want but that...	Prašykit ko tik norit, tik ne to...
You haven't gotten any slimmer, have you?	Jūs nė kiek nesuliesėjot, tiesa?
You haven't lost much weight, either.	Jūs taip pat nenumetėt daug svorio.
The last three weeks were a disaster!	Pastarosios trys savaitės buvo katastrofa!
So many handsome men in one place?	Tiek patrauklių vyrų vienoje vietoje?
What do you know about love?	Ką tu išmanai apie meilę?
We've got plenty of time, haven't we?	Turime daugybę laiko, ar ne?
You don't see it at first glance	Iš pirmo žvilgsnio nepastebi
But always remember she's a predator watch out forblondes	Bet visuomet prisimink, kad ji plėšrūnė Saugokis blondinių
This evening will determine your whole career.	Šis vakaras nulems visą tavo karjerą.
If everything goes well, you've got it made.	Jei vakaras gerai nusiseks, vadinasi tau pavyko.
We're still at the "Blue Angel".	Mes vis dar "Mėlynajame Angele".
Don't let him make you nervous.	Neleisk jam savęs nervinti.
I felt the same way the first time around.	Aš taip pat jaučiausi prieš pirmą pasirodymą.
Shut up for a few minutes, will you?	Užsičiaupk nors trumpam, gerai?
Then I'll risk a glance, too.	Tuomet aš irgi užmesiu akį.
Why do you look at me like that?	Kodėl taip žiūri į mane?
Well, that happens in the best families!	Na, taip būna net ir geriausiose šeimose!
Go out and do your number.	Eik atlikti savo numerio.
Have a drink, my dear colleague!	Išgerkite, mielas kolega!
You don't want to go on stage?	Nenori eiti į sceną?
You don't want to go on stage?	Nenori eiti į sceną?
I won't have any of this in my place!	Aš to nepakęsiu pas save!
Ladies and gentlemen, I apologize for the delay...	Ponai ir ponios, prašau atleisti už vėlavimą...
I can see you don't need any further introduction...	Kaip matau, visiškai nereikia tolesnių pristatymų...
Ladies and gentlemen, allow me to introduce to you...	Ponai ir ponios, leiskite jums pristatyti...
Mr. Sorcerer, I've run out of eggs...	Pone kerėtojau, man baigėsi kiaušiniai...
If you don't crow this time, I'll kill you!	Jei ir šįkart negiedosi, užmušiu!
What do you want from me?	Ko iš manęs nori?
All this because of a woman!	Viskas dėl tos moters!
From head to toe l'm programmed forlove	Nuo galvos iki kojų pirštų aš sutverta meilei
And nothing else what can I do?	Ir niekas kitas Ką aš galiu padaryti?
It is my nature... I can only love	Tokia mano prigimtis... Aš tegaliu mylėti
From head to toe l'm programmed forlove	Nuo galvos iki kojų pirštų aš sutverta meilei
are found crumbling castles of a bygone age".	stūkso griūvančios senovės pilys."
- I say, driver, a bit slower.	- Vežike, sakau, lėčiau.
- We must reach the inn before sundown.	- Turime pasiekti smuklę iki saulėlydžio.
It is Walpurgis night, the night of evil.	Valpurgijų naktis, blogio naktis.
No, no, please. Put that back up there.	Ne, ne, prašau – užkelkite jį atgal.
They take the form of wolves and bats.	Jie įgyja vilkų ir šikšnosparnių pavidalą.
Why, I... I can't understand why...	Aš negaliu suprasti, kodėl...
When it is gone, they leave their coffins.	Kai ji pasislėps, jie paliks karstus.
I mean, just a minute, I...	Turiu omeny, minutėlę...
It's really good to see you.	Tikrai malonu jus matyti.
The spider spinning his web for the unwary fly.	Voras rezga tinklą neatsargiai musei.
The blood is the life, Mr. Renfield.	Kraujas yra gyvenimas, pone Renfildai.
I didn't know but that you might be hungry.	Nežinau, bet galbūt jūs išalkęs.
You see, all your papers were in...	Matote, ten buvo visi jūsų popieriai.
Everything is in order... awaiting your signature.	Viskas sutvarkyta, tereikia jūsų parašo.
I'm taking with me only three, uh, boxes.	Pasiimsiu tik tris, hm, dėžes.
We will be leaving... tomorrow evening.	Išvyksime rytoj vakare.
I hope you will find this comfortable.	Tikiuosi, jums bus patogu.
Just a small cut from that paper clip.	Tik sąvaržėlė įdrėskė.
I hope you will like it.	Viliuosi, jums patiks.
You will see that I get lives?	Pasirūpinsite, kad gaučiau gyvybių?
I'll be loyal to you, Master.	Būsiu ištikimas jums!
That's what it looks to me like.	Bent taip man atrodo.
Here now, here now, get back.	Nagi, nagi, pasitraukite.
Nobody goes aboard this here boat but the authorities.	Niekas nelipa į laivą, tik įgaliotieji.
The captain dead, tied to the wheel.	Kapitonas negyvas, pririštas prie vairo.
You can't hear what I'm saying, but we're here!	Negalite girdėti, ką sakau, bet mes atvykome!
They must have come through a terrible storm.	Jie turėjo patirti pasibaisėtiną audrą.
Why, it's come from that hatchway!	Jis iš to liuko!
- You're wanted on the telephone.	- Jūs kviečiamas prie telefono.
I could not help overhearing your name.	Negalėjau neišgirsti jūsų vardo.
I have just leased Carfax Abbey.	Ką tik išsinuomojau Karfakso abatiją.
- I understand it adjoins your grounds.	- Kiek suprantu, ji šalia jūsų žemių.
I'm very happy to make your acquaintance.	Labai malonu su jumis susipažinti.
May I present my daughter Mina?	Galiu pristatyti savo dukterį Miną?
Count Dracula's just taken Carfax Abbey.	Grafas Drakula ką tik išsinuomojo Karfakso abatiją.
You'll excuse me, I'm wanted on the telephone.	Atleiskite, manęs laukia prie telefono.
I shall do very little repairing.	Ketinu taisyti labai nedaug.
- Oh, never mind the rest, dear.	- Toliau nereikia, mieloji.
There are far worse things... awaiting man... than death.	Yra daug baisesnių dalykų, laukiančių žmogaus, nei mirtis.
Oh, I suppose he's all right.	Na, jis visai nieko.
But give me someone a little more normal.	Bet pageidaučiau ko nors normalesnio.
He probably wants his flies again!	Jis turbūt vėl nori savo musių!
Please don't, Martin! Oh, Martin, please!	Prašau, nereikia, Martinai!
- Here, give it to me!	- Nagi, atiduok!
Don't throw my spider away from me.	Neišmesk mano voro.
Ain't you ashamed now? Ain't ya?	Argi tau dabar ne gėda?
- Who wants to eat flies?	- Kas norėtų valgyti muses?
Not when I can get nice, fat spiders!	Ne tada, kai galiu gauti puikių, riebių vorų!
Gentlemen, we are dealing with the undead.	Džentelmenai, turime reikalų su nemirėliu.
Yes, Nosferatu, the undead, the vampire.	Taip, Nosferatu, nemirėliu, vampyru.
It leaves two little wounds, white with red centers.	Jis palieka dvi žaizdeles, baltas, raudonu viduriu.
The vampire is a pure myth, superstition.	Vampyras – grynas išsigalvojimas, prietaras.
- As far as we know, Doctor.	- Tiek težinome.
I am here to help you.	Esu čia, kad padėčiau jums.
You understand that, do you not?	Suprantate tai, ar ne?
- Keep your filthy hands to yourself!	- Nekaišiok savo purvinų rankų!
Oh, Dr. Seward, send me away from this place.	Daktare Siuvardai, išsiųskite mane iš čia.
Why are you so anxious to get away?	Kodėl taip nekantraujate išvykti?
My cries at night, they might disturb Miss Mina.	Mano šauksmai naktį gali trukdyti mis Minai.
They might give her bad dreams, Professor Van Helsing.	Jie jai gali užtraukti blogus sapnus, profesoriau Van Helsingai.
- That sounded like a wolf.	- Skambėjo kaip vilkas.
Me, I've heard 'em... howl at night before.	Aš juos girdėjau kaukiančius praeitą naktį.
He thinks they're talking to him.	Jis mano, kad jie šneka su juo.
He howls and howls back at them.	Jis kaukia ir kaukia atsakydamas.
I might have known. I might have known.	Turėjau žinoti, turėjau žinoti.
And we know how we can make them stop.	Ir žinome, kaip juos užčiaupti.
- You know too much to live, Van Helsing.	- Žinote per daug, kad gyventumėte, Van Helsingai.
- On your way, old fly eater.	- Į kelią, senas musėdi.
- Come along, now, come along.	- Eime, eime.
What was that herb that excited him so?	Kas ta taip jį sujaudinusi žolė?
It is a plant that grows in central Europe.	Augalas, augantis Vidurio Europoje.
Renfield reacted very violently to its scent.	Renfildas labai smarkiai sureagavo į jos kvapą.
Please don't ask me to do that!	Prašau, neliepkite man to padaryti!
I lay in bed for quite a while, reading.	Gulėjau lovoje ir skaičiau.
And just as I was commencing to get drowsy,	Kai buvau jau beapsnūstanti,
- Dear, it was only a dream.	- Brangioji, tai tik sapnas.
And then, in the morning, I felt so weak.	O ryte jaučiausi tokia silpna.
Is there anything the matter with your throat?	Ar jūsų gerklei kažkas negerai?
How long have you had those little marks?	Kaip seniai turite šias nedideles žymes?
- Mina, why didn't you let us know?	- Mina, kodėl mums nesakei?
Since the morning after the dream.	Nuo ryto po sapno.
What could have caused them, Professor?	Kas galėjo jas palikti, profesoriau?
It's good to see you back again, Doctor.	Smagu jus vėl matyti, daktare.
I heard you have just arrived.	Girdėjau, ką tik atvykote.
And you, Miss Mina. You're looking exceptionally...	O jūs, mis Mina, atrodote ypač...
I hope you haven't taken my stories too seriously.	Tikiuosi, nepriėmėte mano pasakojimų per daug rimtai.
I can quite understand Mr. Harker's concern.	Suprantu pono Harkerio susirūpinimą.
My dear, I'm sure Count Dracula will excuse you.	Brangioji, esu tikras, grafas Drakula tau atleis.
Oh, but really, Father, I'm feeling quite well.	Tėveli, tikrai jaučiuosi gana gerai.
You had better do as your father advises.	Geriau darykite, kaip pataria jūsų tėvas.
May I call later and inquire how you're feeling?	Ar galėčiau vėliau paskambinti ir pasiteirauti, kaip jaučiatės?
- Whew. - What on earth caused that?	Dėl ko tai, po perkūnais?
Did you see the look on his face?	Matėte jo veido išraišką?
What's that running across the lawn?	Kas ten bėga per pievelę?
- He was afraid we might follow.	- Jis bijojo, kad galime pasekti jį.
- What are you talking about?	- Apie ką jūs kalbate?
A vampire casts no reflection in the glass.	Vampyras neatsispindi veidrodyje.
That is why Dracula smashed the mirror.	Todėl Drakula sudaužė veidrodį.
Professor, vampires only exist in ghost stories.	Profesoriau, vampyrai egzistuoja tik gąsdinančiose istorijose.
It must have blood or it dies.	Jis turi gauti kraujo, arba žus.
Its power lasts only from sunset to sunrise.	Jis turi galią tik nuo saulėlydžio iki saulėtekio.
Did you hear what we were saying?	Girdėjai, ką kalbėjome?
Be guided by what he says.	Vadovaukitės tuo, ką jis sako.
I wasn't going to say anything!	Nesiruošiau nieko sakyti!
What have you to do with Dracula?	Ką turite bendro su Drakula?
I never even heard the name before.	Net nesu girdėjęs tokio vardo.
God will not damn a lunatic's soul.	Dievas neprakeiks bepročio sielos.
- Miss Mina, out there dead!	- Mis Mina štai ten negyva!
I was downstairs... on the terrace.	Buvau apačioje, terasoje.
I started to speak to her.	Pradėjau jai kažką sakyti
And then I remembered she was dead.	ir atsiminiau, kad ji mirusi.
The most horrible expression came over her face.	Tada jos veido išraiška tapo siaubinga.
She looked like a hungry animal.	Ji atrodė kaip alkanas žvėris.
Then you know the woman in white is...	Tada, žinote, kad baltai apsirengusi moteris yra
And you mustn't kiss me... ever again.	Ir turi nebučiuoti manęs... daugiau niekad.
What are you trying to say?	Ką tu nori pasakyti?
No, no, don't look at me like that.	Nežiūrėk į mane šitaip.
But this horror, he wills it.	Bet tokia šio košmaro valia.
Miss Mina, you must come indoors.	Mis Mina, privalote eiti vidun.
You know what you're doing to her, Professor?	Žinote, ką jai darote, profesoriau?
- Mina, please get your bags packed.	- Mina, prašau, susikrauk daiktus.
You will be safe if Dracula returns.	Jei Drakula grįžtų, būsite saugi.
Mina, I'll be waiting for you in the library.	Mina, lauksiu tavęs bibliotekoje.
Well, Dr. Seward, what about it?	Taigi, daktare Siuvardai, kas iš to?
Is Mina going with me or not?	Ar Mina vyksta su manim, ar ne?
Now, John, please, please, be patient.	Džonai, prašau, būkite kantrus.
You forget, Doctor, that madmen have great strength.	Daktare, pamirštate, kad bepročiai labai stiprūs.
Dracula has great strength, eh, Renfield?	Drakula labai stipus, ar ne, Renfildai?
Didn't I warn you to keep a strict watch?	Argi neliepiau atidžiai prižiūrėti?
The doctor's pet loony is loose again.	Daktaro mėgstamasis pamišėlis vėl paspruko.
Not in words, but by doing them.	Ne žodžiais, bet atlikdamas.
And I thought he seemed to be saying,	Rodėsi, kad jis sako:
What did he want you to do?	Jis norėjo, kad padarytumėte ką?
That which has already been done.	Kas jau yra padaryta.
- Dracula is in the house.	- Drakula yra name.
Doctor, this time he can do no harm.	Daktare, šįkart jis negali pakenkti.
All right, but I have me doubts.	Gerai, bet vis tik abejoju.
You mustn't get out of it this time.	Privalai nebeišsikrapštyti.
My blood now flows through her veins.	Mano kraujas dabar teka jos gyslomis.
But I shall see that she dies by night.	Bet pasirūpinsiu, kad ji mirtų naktį.
Open the window and let in some air.	Atidaryk langą ir įleisk oro.
Oh, never mind the professor now.	Nekreipk dėmesio į profesorių.
Now, please, go back to bed at once.	Prašau, tuoj pat eikite į lovą.
I'm going to call your father.	Pakviesiu jūsų tėvą.
- Oh, I don't know, Mr. Harker.	- Nežinau, pone Harkeri.
- Well, let me see her.	- Leiskite ją pamatyti.
Oh, John, I'm so glad you're here.	Džonai, kaip džiaugiuosi, kad esi čia.
Well, what have they been doing to me, dear?	Ką gi jie man darė, brangusis?
And the horrible smell of that awful weed.	Ir siaubingas tos bjaurios piktžolės dvokas.
Why are you looking at me like that?	Kodėl į mane taip žiūri?
I've never felt better in my life.	Niekad gyvenime geriau nesijaučiau.
Oh, I'm so glad to see you like this.	Džiaugiuosi, matydamas tave tokią.
- I've been awfully worried about you.	- Labai dėl tavęs nerimavau.
You better bring Miss Mina inside.	Geriau veskit mis Miną į vidų.
That's all right, Briggs, now that I'm here.	Brigs, kai esu čia, gerai ir taip.
- See how plain you can see the stars?	- Regi, kaip gerai matyti žvaigždės?
I've never seen them so close.	Niekad jų nemačiau taip arti.
Would you like me to get you a hat...	Ar nori, kad atneščiau skrybėlę?
There's not a moment to be lost.	Negalima prarasti nė sekundės.
Oh, but I love the fog.	Bet man patinka rūkas.
That's the only time I feel really alive.	Tai vienintelis metas, kai jaučiuosi tikrai gyva.
- My, that was a big bat.	- O, tikrai didžiulis.
- Yes, you did. You said, "I will".	- Sakei, kad padarysi.
That funny little old professor, he has a crucifix.	Tas juokingas mažas senas profesorius turi krucifiksą.
They look at me so strangely.	Jos taip keistai žvelgia į mane.
Are you trying to frighten her to death?	Norit ją mirtinai išgąsdint?
No, I was trying to save her.	Ne, bandžiau ją išgelbėti.
Oh, John, darling, you must go away from me...	Oi, Džonai, brangusis, turi pasitraukti nuo manęs.
I have a right to know.	Turiu teisę žinoti.
You can believe everything he says.	Gali tikėti viskuo, ką jis sako.
Well, what... what's he done to you, dearie?	Ką jis tau padarė, brangute?
It's that big gray bat again, sir.	Vėl tas didelis pilkas šikšnosparnis, pone.
It's no use of wasting your bullets, Martin.	Nėra prasmės eikvoti kulkas, Martinai.
They're all crazy, except you and me.	Visi išprotėję, išskyrus tave ir mane.
Sometimes I have me doubts about you.	Dėl tavęs kartais abejoju.
What's he doing at the abbey?	Ką jis veikia abatijoje?
Where else would he be going but to Dracula?	Kur dar jis eis, jei ne pas Drakulą?
What do you want me to do?	Ką nori, kad padaryčiau?
I didn't lead them here, Master.	Aš jų čia nevedžiau, šeimininke.
Punish me, torture me, but let me live!	Nubauskite, kankinkite, bet leiskit gyventi!
All that blood on my hands!	Su jų krauju ant mano rankų!
He'll kill her if we don't get to her.	Jis ją nužudys, jei jos nerasime.
We must not be too late.	Negalima pavėluoti.
Get me a piece of stone, anything.	Duok man akmenį, bet ką.
I heard you calling, but I couldn't say anything.	Girdėjau, kad šaukei, bet negalėjau nė žodžio pratarti.
We thought he'd killed you, dear.	Brangioji, manėme, kad jis tave nužudė.
There's nothing more to fear, Miss Mina.	Nebėra ko bijoti, mis Mina.
But aren't you coming with us?	- Argi neinate su mumis?
What do we care if we were expelled?	Mums nesvarbu, kad mus išmetė.
The war's gonna start, so we would've left anyhow.	Tuoj prasidės karas ir mes vis tiek išvyksime.
- Those fool Yankees want a war.	Tie kvaili jankiai nori karo.
I get so bored I could scream.	Man taip nuobodu, kad norisi šaukti.
Besides, there isn't going to be any war.	Be to, nebus jokio karo.
- Not gonna be any war?	Nebus karo?
- Of course there'll be a war.	- Žinoma, bus karas.
- Don't you want us to have a war?	- Tu nenori karo?
- Wait a minute, honey, please!	Palauk, mieloji, prašau!
We'll talk about the Wilkes' barbecue at Twelve Oaks.	Pakalbėkim apie pobūvį "Dvylikoje Ąžuolų".
You're eating barbecue with us, aren't you?	Tu valgysi su mumis, ar ne?
I haven't thought about that yet.	Dar negalvojau apie tai.
First Brent, then me, then Brent, and so on.	Iš pradžių Brentas, po to - aš, po to - Brentas, ir taip toliau.
- Why, I'd just love to.	- Man būtų malonu.
- You can't do that to us!	Tu negali taip su mumis elgtis!
- We'll tell you a secret.	- Pasakysim tau paslaptį.
Who wants to know about her?	Kas nori apie ją žinoti?
Ashley Wilkes is gonna marry her.	Ešlis Vilkisas ketina ją vesti.
- Wilkeses always marry their cousins.	Vilkisai visada veda pusseseres.
- Do we get those waltzes?	- Na, ar gausim valsus?
- Suppose we made her mad?	- Manai, kad mes ją supykdėme?
How come you didn't ask them gentlemen to supper?	Kodėl nepakvietei tų ponų vakarieniauti?
You got no more manners than a field hand.	Tavo manieros kaip kaimietės.
After me and Miss Ellen done labored with you!	Aš ir panelė Elen taip stengėmės!
- Who says it's quitting time?	Kas pasakė, kad laikas baigti?
I say when it's quitting time at Tara.	Aš sakau, kada laikas baigti.
How proud of yourself you are!	Kaip tu savimi didžiuojiesi!
You know I'm no tattletale like Suellen.	Žinai, kad aš ne skundikė kaip Suelen.
It's my own neck, so it is.	Tai mano kaklas, ar ne?
All right, Pa, you jump what you please.	Gerai, tėti, šokinėk, kiek nori.
- How are they at Twelve Oaks?	Kaip jiems sekasi "Dvylikoje Ąžuolų"?
Their cousin Melanie and her brother, Charles.	Jų pusseserė Melani ir jos brolis Čarlzas.
Melanie Hamilton is a pale-faced, mealy-mouthed ninny!	Melani Hamilton yra blyški ir saldžialiežuvė kvailė. Nekenčiu jos!
Ashley Wilkes couldn't like anyone like her.	Ešliui Vilkisui ji negali patikti.
What's your interest in Ashley and Miss Melanie?	Kodėl tau rūpi Ešlis ir panelė Melani?
Has he been trifling with you?	Jis tau ka nors siūlė?
Has he asked you to marry him?	Ar paprašė už jo tekėti?
- No. - Nor will he.	Ir nepaprašys.
