Tai yra tiesa.	That's true.
Jis paliko pinigus namie.	He left the money at home.
Jis paliko prieš valandą.	He left an hour ago.
Jis yra gražus kaip dievas!	He is beautiful like a god!
Jūs turite pradėti gyvenimą iš naujo.	You should make a fresh start in life.
Kiek kartų aš turiu tau sakyti?	How many times do I have to tell you?
Koks klausimas! Žinoma kad aš ją myliu.	What a question! Of course I love her.
Koks klausimas! Žinoma kad aš jį myliu.	What a question! Of course I love him.
Laikas mirti.	Time to die.
Mano tėvas nėra toks senas kaip jis atrodo.	My father is not as old as he looks.
Man skauda ranką.	My arm hurts.
Mūsų sūnus mirė karo metu.	Our son died during the war.
Niekas nenori karo.	Nobody wants a war.
Niekas pasaulyje nenori karo.	Nobody in the world wants war.
Pasakyk man savo vardą.	Tell me your name.
Pas mane baigėsi pinigai.	I have run out of money.
Šiandien yra gera diena mirti.	Today is a good day to die.
Tai nebuvo mano klausimas.	That wasn't my question.
Tai yra puiki mintis.	That's a brilliant idea.
Tėvas dirba.	The father works.
Tiesą sakant, aš nenoriu su jais eiti.	To tell the truth, I don't want to go with them.
Tu turi pradėti savo gyvenimą iš naujo.	You should make a fresh start in life.
Vyrai nieko nežino apie moteris.	Men know nothing about women.
Yra tik viena problema.	There's just one problem.
Ar girdėjai apie tą kas įvyko vakar naktį?	Did you hear about what happened last night?
Ar tai yra meilė?	Is this love?
Aš nemačiau jo kelias dienas.	I haven't seen him in a few days.
Aš niekada nemačiau namo be durų.	I've never seen a house without a door.
Aš pamaniau kad tu mano brolis.	I mistook you for your brother.
Aš turiu namą.	I have a house.
Ateik rytoj ryte.	Come tomorrow morning.
Eik ir atidaryk duris.	Go and open the door.
Grįžk į savo vietą.	Return to your seat.
Jis ateina čia du kartus per savaitę.	He comes here twice a week.
Jos dukra yra labai graži.	Her daughter is very pretty.
Kaip sekasi jūsų dukra?	How is your daughter?
Kaip sekasi tavo dukra?	How is your daughter?
Kokio jūs turite maisto?	What kind of food do you have?
Labas vakaras, kaip sekasi?	Good evening, how are you?
Man nerūpi ką tavo motina pasakė.	I don't care what your mother said.
Mano namai yra tavo namai.	My home is your home.
Mano tėvai yra sveiki.	My parents are healthy.
Man skauda galva.	I have a headache.
Mergaitė nori žinoti tiesą.	The girl wants to know the truth.
Nekenčiu šito darbo.	I hate this job.
Nesu tikra ar tai berniukas ar mergaitė.	I'm not sure if it's a boy or a girl.
Nesu tikras ar tai berniukas ar mergaitė.	I'm not sure if it's a boy or a girl.
Nusiramink, sūnau.	Calm down, son.
Šie namai nėra mano.	This house is not mine.
Tai aš, atidaryk duris.	It's me, open the door.
Tai yra mano tėvo namai.	It is my father's house.
Ta mergaitė apie kurią aš tau sakiau gyvena čia.	The girl I told you about lives here.
Viskas ką girdėjai yra tiesa.	Everything you've heard is true.
Ar ji dirba šiame mieste?	Does she work in this city?
Ar tu žinai ar jis turi merginą?	Do you know if he has a girlfriend?
Aš čia turiu daug draugų.	I have a lot of friends here.
Aš manau, kad yra šaunu, kad tu gavai tą darbą.	I think it's great that you got that job.
Aš negalėjau rasti jo namo.	I couldn't find his house.
Aš negalėjau suprasti ką jis sakė.	I couldn't understand what he was saying.
Aš noriu gyventi mieste.	I want to live in the city.
Aš pažįstu tą merginą.	I know that girl.
Aš tau parodysiu savo kambarį.	I'll show you my room.
Aš turiu daug draugų.	I have many friends.
Dėl Dievo meilės niekam to nesakyk.	For God's sake don't tell it to anyone.
Duok man dvi minutes.	Give me two minutes.
Grįšiu po valandos.	I'll be back in an hour.
Gyvenimas prasideda tada kada tu esi pasiruošęs jį gyventi.	Life begins when you're ready to live it.
Iš pradžių, aš negalėjau suprasti ką jis sakė.	At first, I couldn't figure out what he was saying.
Ji čia turi daug draugų.	She has a lot of friends here.
Jiems reikia draugų.	They need friends.
Ji myli kitą vyrą.	She's in love with another man.
Kodėl tai darai, Tomai?	Why are you doing that, Tom?
Kuriuo metu jis išėjo?	At what time did he leave?
Man į galvą atėjo kvaila mintis.	A foolish idea came into my mind.
Man skauda ranka.	My arm hurts.
Mes esame geri draugai.	We are good friends.
Mums nebuvo lengva rasti jo namus.	It was not easy for us to find his house.
Ne, jis nėra naujas mano vaikinas.	No, he's not my new boyfriend.
Ne, tai nėra mano naujas vaikinas.	No, he's not my new boyfriend.
Palauk minutėlę. Aš noriu tau kažką pasakyti.	Wait a minute. I want to tell you something.
Palauk minutėlę.	Wait a moment.
Prašau palauk pusę valandos.	Please wait half an hour.
Puiku turėti šeimą.	It's great to have a family.
Šaunu turėti šeimą.	It's great to have a family.
Tavo planas skamba puikiai.	Your plan sounds great.
Vienintelis dalykas, kuris jam rūpi, yra pinigai.	The only thing he cares about is money.
Ar čia kažkur yra taksi?	Are there taxis around here?
Ar jūs turite knygą?	Do you have a book?
Ar matei mano žmoną?	Have you seen my wife?
Ar tu matei koks didelis yra jų namas?	Did you see how big their house is?
Ar tu turi knygą?	Do you have a book?
Ar vaikai eina į mokyklą?	Do the children go to school?
Ar yra skirtumas?	Is there a difference?
Aš galvoju apie tavo planą.	I'm thinking about your plan.
Aš mačiau tavo tėvą.	I saw your father.
Aš noriu eiti į mokyklą.	I want to go to school.
Aš pamiršau jo vardą	I forget his name.
Aš pažįstu tavo tėvą.	I know your father.
Čia yra mano širdis.	Here is my heart.
Dėkoju tau iš visos širdies.	I thank you with all my heart.
Dievas yra blogas.	God is bad.
Dink iš mano gyvenimo!	Get out of my life!
Duok man savo knygą.	Give me your book.
Grįšiu rytoj vakare.	I'll be back tomorrow evening.
Jei tau manęs reikės, aš būsiu savo kambaryje.	If you need me, I'll be in my room.
Ji jau išėjo į mokyklą.	She has already gone to school.
Ji nėra mano sesuo, ji mano žmona.	She is not my sister, she's my wife.
Ji nėra tokia kaip ji buvo prieš dešimt metų.	She is not what she was ten years ago.
Jis davė jai knygą.	He gave her a book.
Jis mirė prieš dešimt metų.	He died ten years ago.
Jis nėra blogas žmogus.	He's not a bad person.
Jis neturi eiti į mokyklą.	He doesn't have to go to school.
Jis paliko savo žmoną ir vaikus.	He left his wife and children.
Ji turi dešimt vaikų.	She has ten children.
Kai aš atėjau į mokyklą, ten jau nieko nebuvo.	When I came to the school, there was nobody there anymore.
Ką jis veikia savo kambaryje?	What is he doing in his room?
Kambaryje nieko nėra.	There's no one in the room.
Kieno yra šis namas?	Whose house is this?
Kito karto nebus.	There won't be a next time.
Kuris namas yra jo?	Which house is his?
Kuriuo metu galėtum pas mus rytoj ateiti?	At what time would you be able to come to us tomorrow?
Laikyk savo rankas virš stalo.	Keep your hands above the table.
Mano motina negali ateiti.	My mother can't come.
Man patinka šita mergaitė.	I like this girl.
Man pavyko gauti tą knygą.	I succeeded in getting the book.
Mergaitė eina į mokyklą.	The girl goes to school.
Mes buvome kartu tik tris mėnesius.	We've only been together three months.
Myliu tave iš visos širdies.	I love you with all my heart.
Namai stovi arti vienas prie kito.	The houses stand near to each other.
Nedaryk to dar kartą!	Don't do it again.
Nekenčiu tavęs iš visos širdies.	I hate you with all of my heart.
Nenoriu į mokyklą.	I don't want to go to school.
Noriu pamatyti šį filmą.	I want to see the movie.
Padėk knygą atgal, kur ji buvo.	Place this book back where it was.
Prašau laikyk omeny tą ką aš pasakiau.	Please bear in mind what I said.
Prašom ateiti dar kartą po trijų dienų.	Please come again in three days time.
Šitas žodis yra labai gražus.	This word is really beautiful.
Tai yra mano namas.	This is my house.
Taksi laukia lauke.	The taxi is waiting outside.
Tas namas yra labai mažas.	That house is very small.
Tas vyras yra negyvas.	This man is dead.
Tau laikas eiti į mokyklą.	It is about time you went to school.
Tiesą sakant, aš jau mačiau tą filmą.	To tell the truth, I've already seen the movie.
Varyk man iš kelio!	Get the hell out my way!
Velnias gali ateiti.	The Devil may come.
Žiūrėk į knygą ant stalo.	Look at the book on the desk.
Ar galiu palikti žinutę?	Can I leave a message?
Ar girdėjai jo žinutę?	Did you hear his message?
Ar ji mano draugė?	Is she my friend?
Ar tu manai kad tai yra kažkoks žaidimas?	Do you think this is some kind of game?
Ar tu matei mano mamą?	Did you see my mother?
Ar tu myli savo mamą?	Do you love your mother?
Ar tu myli savo šalį?	Do you love your country?
Ar tu pažįsti jo mamą?	Do you know his mum?
Ar turite klausimų?	Do you have any questions?
Ar tu tuo metu buvai mokykloje?	Were you at school at that time?
Aš einu į vidų.	I'm going inside.
Aš gerai ją pažįstu. Ji mano draugė.	I know her well. She is my friend.
Aš myliu savo mamą.	I love my mum.
Aš nežinau ar turėsiu laiko tą padaryti.	I don't know if I'll have time to do it.
Aš sakau "Aš esu Džonas".	I say, “I’m John”.
Aš tau duosiu šią knygą.	I will give you this book.
Aš turėčiau būti mokykloje.	I should be at school.
Aš turiu klausimą.	I have a question.
Džonas nežino ką daryti toliau.	John doesn't know what to do next.
Esu laimingas, kad nesu moteris.	I'm happy because I am not a woman.
Geri dalykai ateina pas tuos kurie laukia.	Good things come to those who wait.
Ji buvo mano vienintelė draugė.	She was my only friend.
Jie negalėjo gauti pakankamai maisto.	They could not get enough food.
Ji mano geriausia draugė.	He is my best friend.
Jis dabar jos ieško mano namuose.	He's now looking for her in my house.
Jis sėdi prie stalo.	He's sitting at the table.
Ji stovi už sienos.	He's standing behind the wall.
Jo ieško policija.	He's wanted by the police.
Jos kambarys yra labai mažas.	Her room is very small.
Kaip laikaisi, mano mielasis?	How are you, my dear?
Kaip laikaisi, mano mieloji?	How are you, my dear?
Kiek mano dukra turėtų valgyti?	How much should my daughter be eating?
Kiek žmonių tu gerai pažįsti?	How many people do you know well?
Leiskite žmonėms ramiai gyventi!	Let people live peacefully!
Mano dukra jau grįžo iš mokyklos.	My daughter has already returned from school.
Mano kambarys yra labai mažas.	My room is very small.
Mano knyga turi būti kažkur kambaryje.	My book has to be somewhere in the room.
Mano motina paliko man žinutę.	My mother left me a message.
Man patinka moterys.	I like women.
Mes buvome viena didelė laiminga šeima.	We were one big happy family.
Mes neturime pakankamai laiko.	We don't have enough time.
Mes visi norime pamatyti filmą.	We are all eager to see the movie.
Negaliu pasakyti, kiek laiko praėjo.	I cannot say how much time passed.
Nei Džonas gali to padaryti, nei aš, nei tu.	John can't do it, nor can I, nor can you.
Neįmanoma sustabdyti laiką.	Time cannot be stopped.
Papasakok man apie savo žmoną.	Tell me about your wife.
Pasitrauk į šalį.	Step aside.
Prašau palaukite pusę valandos.	Please wait half an hour.
Ši knyga yra labai gera.	This book is very good.
Šis kambarys yra mums per mažas.	This room is too small for us.
Šis kambarys yra per didelis.	This room is too big.
Šitas daiktas nėra gyvas.	This thing isn't alive.
Šitas daiktas yra gyvas.	This thing is alive.
Tai buvo išties nuostabi diena.	It was a really beautiful day.
Tai yra knyga apie kurią aš tau sakiau.	This is the book I told you about.
Tai yra knyga.	This is a book.
Tai yra mano knyga.	This is my book.
Tas kambarys nėra labai didelis.	That room is not very large.
Tavo knyga yra ant stalo.	Your book is on the desk.
Turite klausimų?	Any questions?
Vieni yra už planą, kiti yra prieš jį.	Some people are for the plan and others are against it.
Ana negali rasti darbo.	Ann can't find a job.
Ar prisimeni jo telefono numerį?	Do you remember his telephone number?
Ar tau patinka šis miestas?	How do you like this town?
Ar tu supratai ką jis turėjo omenyje?	Did you understand what he meant?
Aš čia ieškau draugų.	I'm searching for friends here.
Aš ieškau gero žodžio.	I'm looking for a good word.
Aš ieškau savo telefono.	I am looking for my phone.
Aš nemanau kad tai yra gera idėja.	I don't think this is a good idea.
Aš nesuprantu nė žodžio, ką tu sakai.	I don't understand a word of what you're saying.
Aš nesuprantu šio žodžio.	I don't understand this word.
Aš neturėjau jokių problemų.	I didn't have any problems.
Aš niekada neturėjau merginos.	I've never even had a girlfriend.
Aš tik tada supratau ką jis turėjo omenyje.	Only then did I realize what he meant.
Aš turiu širdį.	I have a heart.
Gal nori išgerti arbatos?	Would you like to drink some tea?
Ieškau savo telefono.	I am looking for my phone.
Jaučiu kad tau patiks šitas filmas.	I've got a feeling that you're going to like this movie.
Ji myli kitą moterį.	She's in love with another woman.
Jis myli kitą moterį.	He's in love with another woman.
Jis yra vyras kuriuo mes galime pasitikėti.	He's a man we can trust.
Jis yra žodžio žmogus, tad gali juo pasitikėti.	He's a man of his word, so you can count on him.
Jos vyras yra kalėjime.	Her husband is in prison.
Kai kurie žmonės mano, kad tai yra bloga idėja.	Some people think it's a bad idea.
Kai kurie žmonės per daug kalba ir per mažai daro.	Some people talk too much and do too little.
Ką tu manai jis tuo turėjo omenyje?	What do you think he meant by that?
Kur tu gyveni, jeigu tu neturi namų?	Where do you live if you have no home?
Manau, kad tai gera idėja.	I think that's a good idea.
Man buvo per daug gėda pažiūrėti jai į akis.	I was too embarrassed to look her in the eye.
Mes rytoj visą dieną būsime namie.	We'll be home all day tomorrow.
Niekas niekada nėra matęs Dievo.	No one has ever seen God.
Palik mane ramybėje!	Leave me alone!
Palik mano šeimą ramybėje.	Leave my family alone.
Palik tą ten kur radai.	Leave it where you found it.
Pasaulis prasidėjo be žmogaus ir baigsis be jo.	The world began without man and it shall end without him.
Ponas toks-ir-toks šiandien skambino.	Mr So-and-so called today.
Prisimenu pirmą kartą.	I remember the first time.
Šiandien būsime namuose.	We will be at home today.
Šuo buvo miręs.	The dog was dead.
Šuo buvo negyvas.	The dog was dead.
Sustok prie mokyklos.	Stop next to the school.
Tai nėra tai, ką turėjau omenyje.	That isn't what I meant.
Tai yra gera idėja.	That's a good idea.
Tai yra miestas apie kurį aš tau sakiau.	This is the city I told you about.
Tai yra nuostabi idėja.	This is a great idea.
Tai yra puiki idėja.	This is a great idea.
Telefonas vis skambino.	The phone kept ringing.
Tu taip greitai kalbi kad aš nesuprantu nė žodžio.	You talk so fast I can't understand a word you say.
Užeik, Tomai.	Come on in, Tom.
Žinojau, kad tai bloga idėja.	I knew this was a bad idea.
Ar gali ateiti į vakarėlį?	Can you come to the party?
Ar gali man pasakyti kur aš galiu rasti ligoninę?	Can you tell me where I can find a hospital?
"Ar kada nors čia buvai?" "Ne, dabar pirmas kartas"	"Have you ever been here before?" "No, It's my first time here."
Ar manai, kad Tomas pasikeitė?	Do you think Tom has changed?
Ar tai Tomas padarė?	Was Tom the one who did this?
Ar Tomas mirs?	Is Tom going to die?
Ar Tomas pasakė kam jam reikėjo pinigų?	Did Tom say what he needed the money for?
Ar Tomas žino, kas aš esu?	Does Tom know who I am?
Ar tu nori išgirsti ką tas žmogus apie tave pasakė?	Do you want to hear what that person said about you?
Ar žinai iš kur Tomas?	Do you know where Tom is from?
Aš gyvenu mieste.	I live in a city.
Aš labai mėgstu savo darbą.	I like my job very much.
Aš mėgstu moteris.	I like women.
Aš nežinau, ar Tomas čia dar gyvena ar ne.	I don't know whether Tom still lives here or not.
Aš privalau eiti į mokyklą.	I have to go to school.
Aš turiu teisę pasakyti ką manau.	I have the right to say what I think.
Aš turiu teisę sakyti tą ką galvoju.	I have the right to say what I think.
Atnešk visus savo pinigus.	Bring all your money.
Atrodo kad Tomas žino kelią.	Tom seems to know the way.
Daktare, padėkite man!	Doctor, help me!
Dvi šeimos gyvena tame name.	Two families live in that house.
Įdomu, kodėl Tomas taip pasakė.	I wonder why Tom said that.
Į tą vietą tau eiti vienam pavojinga.	It is risky for you to go into that area alone.
Jam patinka gyventi toje vietoje.	He likes to live in that place.
Jie pabėgo iš mokyklos.	They ran away from school.
Ji paėmė mano ranką.	She took my hand.
Jis neturi nė žmonos, nė vaikų, nė draugų.	He has no wife, no children and no friends.
Jos vyras tuoj mirs.	Her husband is about to die.
Kada tu eisi į mokyklą?	When will you go to school?
Kaip Tomas gali tai padaryti?	How can Tom do this?
Kodėl Tomas negali čia pasilikti?	Why can't Tom stay here?
Ko Tomas iš manęs nori?	What does Tom want from me?
Leisk man pasakyti vieną dalyką.	Let me say one thing.
Mano namuose yra labai šalta.	It's very cold in my house.
Nedaug žmonių taip galvoja.	Few people think so.
Privalai atlikti darbą, net jei tau jis nepatinka.	You must do the work, even if you do not like it.
Šiame name gyvena daug žmonių.	There are many people living in this house.
Šiandien Tomas atrodo kitaip.	Tom seems different today.
Šį filmą verta pamatyti.	This movie is worth watching.
Šį filmą verta pažiūrėti.	This movie is worth watching.
Šiuo metu Tomas nėra kalėjime.	Tom isn't currently in prison.
Štai tas berniukas, kuris padėjo man.	This is the boy who helped me.
Šuo miršta.	The dog is dying.
Tai nėra klaida.	This is not an error.
Tai yra labai pavojinga sistema.	It's a very dangerous system.
Tomas atrodo kaip moteris.	Tom looks like a woman.
Tomas atvyko paskutinis.	Tom arrived last.
Tomas bus pasiruošęs.	Tom will be ready.
Tomas buvo kietas.	Tom was tough.
Tomas buvo mano pirmas vaikinas.	Tom was my first boyfriend.
Tomas dabar turi eiti namo.	Tom has to go home now.
Tomas dabar yra kalėjime.	Tom is now in prison.
Tomas galiausiai rado darbą kuris jam patiko.	Tom eventually found a job that he liked.
Tomas galvoja, kad gali išgelbėti pasaulį.	Tom thinks he can save the world.
Tomas greitai mirs.	Tom will die soon.
Tomas gyvena kažkur čia.	Tom lives somewhere around here.
Tomas miega savo kambaryje.	Tom is asleep in his room.
Tomas negalėjo padaryti to vienas.	Tom couldn't have done it alone.
Tomas nenori išeiti.	Tom doesn't want to leave.
Tomas nenori niekada to daryti dar kartą.	Tom doesn't want to ever do that again.
Tomas nenori niekada to daryti ir vėl.	Tom doesn't want to ever do that again.
Tomas nenori taip gyventi.	Tom doesn't want to live like that.
Tomas nėra tikras.	Tom is unsure.
Tomas ne tas, kuo dedasi.	Tom isn't who he says he is.
Tomas neturi eiti jeigu jis nenori.	Tom doesn't have to go if he doesn't want to.
Tomas neturi šiandien eiti į mokyklą.	Tom doesn't have to go to school today.
Tomas niekada nenori nieko laukti.	Tom doesn't want to wait for anything.
Tomas nori matyti tave kaip galima anksčiau.	Tom wants to see you as soon as possible.
Tomas per daug žino.	Tom knows too much.
Tomas pradėjo ieškoti naujo darbo.	Tom has started looking for a new job.
Tomas šiuo metu nėra kalėjime.	Tom is not in prison at the moment.
Tomas tikriausiai buvo teisus.	Tom was probably right.
Tomas tikriausiai yra teisus.	Tom is probably right.
Tomas turėjo tuo metu būti namie.	Tom must have been at home at that time.
Tomas turės eiti toliau.	Tom will need to go further.
Tomas vis dar yra kalėjime.	Tom is still in prison.
Tomas yra kalėjime.	Tom is in prison.
Tomas yra mūsų komandos kapitonas.	Tom is the captain of our team.
Tomas yra puikus.	Tom is excellent.
Tomas žino, kad jis yra teisus.	Tom knows he's right.
Tu eisi į mokyklą.	You will go to school.
Tu privalai eiti į ligoninę.	You have to go to the hospital.
Vaikai miega.	The kids are asleep.
Visada yra kitas kartas.	There's always a next time.
Ar galiu tavęs paklausti tavo vardo?	May I ask your name?
Ar gavai laišką?	Did you receive the letter?
Ar gavai mano laišką?	Did you receive my letter?
Ar tu matei mano brolį?	Did you see my brother?
Ar yra koks nors pavojus?	Is there any danger?
Aš gerai pažįstu jo brolį.	I know his brother well.
Aš kalbėjau su draugais.	I talked to friends.
Aš nenorėjau jo pagalbos, bet turėjau ją priimti.	I didn't want his help, but I had to accept it.
Aš nesu tikra ar šis daiktas yra ko nors vertas.	I am uncertain whether this is a thing of value.
Aš net negaliu prisiminti, kuo jis buvo vardu.	I can't even remember what his name was.
Aš norėčiau papasakoti apie savo meilę.	I want to speak about my love.
Aš turiu vieną brolį.	I have one brother.
Dauguma jo draugų yra mergaitės.	Most of his friends are girls.
Dauguma jo draugų yra merginos.	Most of his friends are girls.
Gal ji tikrai neturi savo kambario?	Maybe she really doesn't have a room of her own?
Gal tu žinai kur yra mano knygos?	Maybe you know where my books are?
Gavai mano laišką?	Did you receive my letter?
Ji bėga iš namų.	She's running from home.
Ji beveik neturėjo pinigų.	She was nearly without any money.
Ji dirbo nuo ryto iki vakaro.	She worked from morning till night.
Jie neturėjo pakankamai aukso.	They did not have enough gold.
Jis neturėjo pakankamai pinigų.	He did not have enough money.
Jis pats turėjo ieškoti savo kambario.	He had to look for his room by himself.
Jums negalima išeiti iš šio kambario.	You can't leave this room.
Kada ir kur tu gavai tą dovaną?	When and where did you receive the gift?
Kada ji pasakė tuos žodžius?	When did she say those words?
Kas ten apačioje dedasi?	What's going on down there?
Kokios tu nori knygos?	What kind of book do you want?
Mačiau ją praeitą savaitę.	I saw her last week.
Mano tėvas yra jaunas.	My father is young.
Man patinka ši muzika.	I like this music.
Man reikia kambario.	I need a room.
