Tai viskas.	That is all.
Ei, tu! Ką tu darai?	Hey, you! What are you doing?
Jie atrodo sveiki.	They look healthy.
Ką darai?	What are you doing?
Kam?	What for?
Ką tu darai?	What are you doing?
Klausyk.	Listen.
Kodėl jis niekada negali nieko padaryti?	Why can he never do anything?
Negaliu to padaryti.	I can't do it.
Sveiki, ar ten kas nors yra?	Hello, is there anyone there?
Sveiki visi!	Hello everyone!
Taip, du.	Yes, two.
Tu turi padaryti tą pats.	You must do it yourself.
Tu turi tą padaryti tuoj pat.	You must do it at once.
Ar aš galiu dabar eiti namo?	May I go home now?
Ar jie nori kur nors eiti?	Do they want to go anywhere?
Ar tu viena?	Are you alone?
Ar žinai kas ji tokia?	You know who she is?
Aš irgi.	Me, too.
Aš irgi to noriu!	I also want it!
Aš nežinau kur eiti.	I don't know where to go.
Aš noriu būti viena!	I want to be alone!
Aš to nenoriu, nes aš jau tai turiu.	I don't want it because I already have it.
Bet aš nenoriu.	But I don't want to.
Jie gali eiti.	They may go.
Jis yra labai sveikas žmogus.	He's a very healthy person.
Jūs tikrai per geras.	You're really too kind.
Ką dabar aš turiu daryti?	What should I do now?
Kaip tu žinai, kur eiti?	How do you know where to go?
Ką jis nori daryti?	What does he want to do?
Kas čia per šūdas?	What is this shit?
Šūdas!	Shit!
Šūdas.	Shit.
Sveikas.	Hello!
Tai yra tai, ką aš noriu daryti.	It's what I want to do.
Turi tuoj pat eiti namo.	You must go home at once.
Tu turi eiti.	You must go.
Vienas už visus, visi už vieną.	One for all, all for one.
Ar ji turi pinigų?	Does she have money?
Ar nori eiti kartu su manimi?	Do you want to go with me?
Ar tu žinai ką tai reiškia?	Do you know what it means?
Aš galiu padėti tau.	I can help you.
Aš ją myliu.	I love her.
Aš jį vis dar myliu.	I still love him.
Aš labai tave myliu.	I love you a lot.
Aš maniau kad aš turiu tą padaryti.	I thought I must do it.
Aš tau sakiau vėl ir vėl.	I told you again and again.
Aš tave myliu.	I love you.
Eik po velnių!	To the devil with you!
Jam reikia pinigų.	He needs money.
Ką aš visada ir sakiau.	That's what I've always said.
Ką jis sako?	What is he saying?
Ką, po velnių, tu darai?	What the devil are you doing?
Kas nutiko?	What happened?
Ką tai reiškia?	What does it mean?
Kuo galiu jums padėti?	How can I help you?
Maniau kad tai buvo tiesa.	I thought it was true.
Man reikia pinigų.	I need the money.
Pasakyk man ko nori.	Tell me what you want.
Tai, ką jie sako, yra tiesa.	What they say is true.
Taip ir maniau.	That's what I thought.
Ačiū, aš viską supratau.	Thanks, I understood everything.
Ar aš tėvas?	Am I the father?
Ar esi tikras?	Are you certain?
Ar matai mane?	Do you see me?
Aš esu tavo tėvas.	I'm your father.
Aš esu vyras.	I'm a man.
Aš supratau.	I understood.
Aš supratau ką ji sakė.	I got what she was saying.
Aš supratau ką jis sakė.	I understood what she said.
Jis tik yra vyras.	He is only a man.
Jis yra mano tėvas.	He is my father.
Kas tėvas?	Who's the father?
Kas vyksta?	What is happening?
Ką tu čia matai?	What do you see here?
Ką tu matai?	What do you see?
Kur tu buvai?	Where have you been?
Manau kad supratau.	I think I understood.
Manau, supranti, kas tai yra.	I assume you know what this is.
Manęs čia tada nebuvo.	I wasn't here then.
Negaliu būti tikras.	I can't be sure.
Supranti?	Do you understand?
Supranti mane?	Do you understand me?
Supranti mane.	You understand me.
Tai nebuvo tiesa.	That wasn't the truth.
Turbūt ne.	Probably not.
Tu supranti, ar ne?	You understand, don't you?
Ar dar kas nors apie tai žino?	Does anybody else know about this?
Ar galiu kažką pasakyti?	May I say something?
Aš suprantu.	I understand.
Ateik čia!	Come here!
Ateik greitai.	Come quickly.
Duok tą jai.	Give it to her.
Duok tą tam kam to reikia.	Give it to someone who needs it.
Jis mano, kad žino viską.	He believes he knows everything.
Jis neturi darbo.	He doesn't have a job.
Kas tau darbo?	What do you care?
Liaukis!	Stop it!
Nuostabu čia būti.	It's wonderful to be here.
Nuostabu!	Wonderful!
Rimtai?	Seriously?
Tai nuostabu.	It's wonderful!
Taip, suprantu. Ačiū.	Yes, I understand. Thank you.
Tas žmogus visai neturi pinigų.	That person doesn't have any money at all.
Tie du visada bus kartu.	Those two will always be together.
Tu kažką žinai.	You know something.
Tu neturi ten eiti.	You don't have to go there.
Tuoj pat ateik.	Come at once.
Ar galėčiau tau padėti?	Could I help you?
Ar kas nors atsitiko?	Did something happen?
Aš galiu tai padaryti pati.	I can do it by myself.
Aš viską mačiau.	I saw everything.
Duok man savo pinigus.	Give me your money.
Ei, kas atsitiko?	Hey, what happened?
Esu beveik tikras.	I'm almost sure.
Jis pasakė kad aš turiu eiti.	He said that I must go.
Jūs tikrai per gera.	You're really too kind.
Kaip galėčiau jums padėti?	How could I help you?
Kaip gali kažką tokio pasakyti?	How can you say that?
Ką ji pasakė?	What did she say?
Kas atsitiko?	What happened?
Kas jums tai pasakė?	Who told you this?
Kas man atsitiko?	What happened to me?
Kur yra mano tėtis?	Where's my father?
Leisk man eiti.	Allow me to go.
Leisk man eiti su tavimi.	Let me go with you.
Leisk man tą padaryti.	Let me do this.
Mačiau jį.	I saw him.
Mama, kur tėtis?	Mum, where's Dad?
Ne visiškai tave suprantu.	I don't quite follow you.
Nieko tokio!	Never mind!
Pasakyk man kas atsitiko.	Tell me what happened.
Prašau leisk man eiti.	Please let me go.
Štai ką jis pasakė.	That's what he said.
Tau šito reikia.	You need this.
Viskas ką jis pasakė buvo tiesa.	All he said was true.
Ar aš esu jūsų draugas?	Am I your friend?
Ar aš esu tavo draugas?	Am I your friend?
Ar galiu padaryti tai vėliau?	Can I do this later?
Ar tu esi mano draugas?	Are you my friend?
Aš dabar neturiu laiko.	I don't have time right now.
Aš nesu geras žmogus.	I'm not a good person.
Aš nesu tikras, ką daryti.	I'm not certain what to do.
Aš neturiu pinigų.	I don't have any money.
Aš tiesiog neturiu daug laiko.	I just don't have much time.
Aš turėjau ten eiti viena.	I had to go there alone.
Aš turėjau ten eiti vienas.	I had to go there alone.
"Aš turiu jį pamatyti." "Kam?"	"I have to see him." "What for?"
Aš visai neturiu pinigų.	I don't have any money.
Gal jos ten tikrai nebus?	Maybe she really won't be there?
Gana yra gana!	Enough is enough!
Jai reikia jo labiau nei jam reikia jos.	She needs him more than he needs her.
Jie turėtų tą žinoti.	They should know it.
Jis nori dar kartą mus pamatyti.	He wants to see us again.
Jis turi šiek tiek pinigų.	He has a little money.
Jis visiems patinka.	He is liked by everybody.
Kada gi tau bus gana?	When will you have enough?
Kaip ilgai tavęs nebus?	How long will you be gone?
Kas tie vaikai?	Who are those children?
Kol kas dar nesu tikras.	I don't know for certain yet.
Kur aš galėčiau tave pamatyti?	Where could I see you?
Kuris jums labiau patinka?	Which one do you prefer?
Kuris tau labiau patinka?	Which one do you prefer?
Manai, man tai nesvarbu?	Do you think I don't care?
Man nesvarbu ką jis sako.	I don't care what he says.
Mano draugas čia yra.	My friend is here.
Nesu tikras, kad noriu tai pamatyti.	I'm not sure I want to see this.
Nesu visiškai tikras.	I'm not absolutely sure.
Nesvarbu iš kur jis.	It matters little where he is from.
Neturiu laiko.	I didn't have time.
Nežinau ir nenoriu žinoti.	I don't know and I don't want to know.
O Dieve! Ka tu darai?	Oh my God! What are you doing?
Prašau atleiskit man.	Please forgive me.
Sakei ką nors?	Did you say something?
Tai ne mano darbas.	That's not my job.
Tai nesvarbu.	It's not important.
Tai turėtų padėti.	That should help.
Tavo draugas čia yra.	Your friend is here.
Visiškai neturiu pinigų.	I don't have any money.
Apie ką tu kalbi?	What are you talking about?
Ar esi tikra?	Are you certain?
Ar tai yra tikra tiesa?	Is this the real truth?
Ar tau reikia mūsų pagalbos?	Do you require our help?
Aš atsiprašau už tai ką pasakiau.	I apologize for what I said.
Aš esu moteris.	I'm a woman.
Aš nemanau kad galėčiau tą padaryti.	I don't think I could do that.
Aš nesu tikra, ką daryti.	I'm not certain what to do.
Aš nieko nežinau apie moteris.	I know nothing about women.
Aš noriu būti vaikas.	I want to be a child.
Aš pasakiau tą sau.	I said that to myself.
Aš pasakiau viską ką norėjau pasakyti.	I said everything I had to say.
Aš sakau tau tiesą.	I tell you the truth.
Aš šito visiškai nesuprantu.	I can't understand this at all.
Aš tiesiog šito nesuprantu.	I simply don't understand this.
Aš tikiuosi tavo pagalbos.	I expect your help.
Aš turėjau ten eiti vakar.	I had to go there yesterday.
Esu beveik tikra.	I'm almost sure.
Ji daug kalba.	She talks a lot.
Jiems reikia pagalbos.	They need help.
Jiems reikia tavo pagalbos.	They need your help.
Ji mano žmona.	She's my wife.
Jis kalba per greitai.	He speaks too fast.
Jis man vakar pasakė tiesą.	Yesterday, he told me the truth.
Jis pasakė tiesą.	He told the truth.
Ji tik tai vaikas.	She is just a child.
Ji yra mano žmona.	She's my wife.
Kai kurie iš jų yra mano draugai.	Some of them are my friends.
Kaip tai vadinasi?	What do you call this?
Ką ji daro?	What's she doing?
Ką jie daro?	What are they doing?
Ką tu manai ji dabar daro?	What do you think she is doing now?
Kažkas pasakė jai visą tiesą.	Somebody told her the whole truth.
Kol kas dar nesu tikra.	I don't know for certain yet.
Kur mano žmona?	Where's my wife?
Kur yra mano sūnus?	Where is my son?
Labas! Kaip sekasi?	Hi! How are you?
Malonu tave matyti.	I am pleased to see you.
Manau kad dabar jau viską tau pasakiau.	I believe I have now told you everything.
Man reikia tavo pagalbos.	I need your help.
Man tikrai nereikia pagalbos.	I really don't need help.
Moteris nori žinoti tiesą.	The woman wants to know the truth.
Ne, aš nemanau.	No, I don't think so.
Negaliu būti tikra.	I can't be sure.
Nesuprantu.	I don't understand.
Nesuprantu, kodėl tu tai nori padaryti.	I don't understand why you want to do that.
Nesu visiškai tikra.	I'm not absolutely sure.
Net vaikas gali tą padaryti.	Even a child can do it.
Štai ko aš nesuprantu.	That's what I don't understand.
Su kuo tu kalbi?	Who are you talking to?
Tas žmogus nenori nieko daryti.	That person doesn't want to do anything.
Tie kurie nenori eiti, neturi eiti.	Those who don't want to go, don't need to go.
Tu per daug kalbi.	You speak too much.
Turiu du sūnus.	I have two sons.
Turiu rytoj pasakyti jai tiesą.	I have to tell her the truth tomorrow.
Visi tą daro.	Everyone is doing it.
Vyras nori žinoti tiesą.	The man wants to know the truth.
Ar aš galiu grįžti prie darbo?	Can I get back to work?
Ar galime pasikalbėti?	Can we talk?
"Ar galiu eiti su jumis?" "Žinoma."	"May I go with you?" "Of course."
Ar ji sveika?	Is she healthy?
Ar jūs norite darbo?	Do you want a job?
Ar padarei šitą pats?	Did you do this on your own?
Aš nenoriu grįžti atgal.	I don't wanna go back.
Aš noriu pasikalbėti su ja.	I want to talk to her.
Aš noriu pasikalbėti su tavimi.	I want to talk to you.
Aš tiesiai už tavęs.	I'm right behind you.
Aš tiesiog noriu su kuo nors pasikalbėti.	I just want someone to talk to.
Aš tik noriu pasikalbėti.	I just want to talk.
Aš žinau kad jūs žinote kad aš žinau.	I know that you know that I know.
Ateik čia ir padėk.	Come here and help.
Ateik padėk man.	Come help me.
Atrodai sveikas kaip visada.	You look as healthy as ever.
Bet jam reikėjo darbo.	But he needed a job.
Būtent tą jis ir pasakė.	That's exactly what he said.
Buvo malonu su ja pasikalbėti.	It was nice to converse with her.
Dieve, padėk man!	My God, help me!
Jeigu norite.	If you want.
Jis tai padarė.	He made it.
Jūs žinote kad aš noriu tą žinoti.	You know I want to know it.
Kaip gaila!	What a pity!
Kaip jūs žinote, kur eiti?	How do you know where to go?
Kaip norite.	As you wish.
Kam tu tai padarei?	Why did you do what you did?
Kodėl tu tą padarei?	What did you do that for?
Kuo tu vardu?	What's your name?
Labas, mano mieloji.	Hello, my dear.
Liko tik viena diena, patinka tai mums ar ne.	There is only one day left, whether we like it or not.
Nesijaudink dėl manęs.	Don't worry about me.
Nesijaudink.	Don't worry.
Norėčiau eiti su jumis.	I would like to go with you.
Padėk man!	Help me!
Tu atrodai visai kaip jis.	You look just like him.
Tu buvai teisus.	You were right.
Tu eik pirma.	You go first.
Tu esi vienintelis kuris gali man padėti.	You are the only one who can help me.
Turbūt tu esi teisus.	You're probably right.
Tu tikriausiai kažką padarei.	You must've done something.
Tu turbūt esi teisus.	You're probably right.
Visą gyvenimą vyrai yra vaikai.	Men are children their whole life.
Visi tavęs laukia.	Everybody is waiting for you.
Yra vienas kelias.	There is one way.
Žinoma kad jis yra teisus.	Of course, he is right.
Ar galėtum man pasakyti?	Could you tell me?
Ar girdi mane?	Do you hear me?
Ar ką nors girdi?	Do you hear something?
Ar tu manai kad aš turėčiau eiti vienas?	Do you think I should go alone?
Aš galiu kalbėti jūsų kalba.	I can speak your language.
Aš jūsų klausau.	I'm listening to you.
Aš negaliu tau visko pasakyti.	I can't tell you everything.
Aš nenoriu apie tai kalbėti.	I don't want to talk about it.
Aš tavęs klausau.	I'm listening to you.
Aš turėčiau eiti.	I should go.
Aš turėčiau tą padaryti dabar.	I should do it now.
Atleiskite man, prašau!	Forgive me, please!
Dievas yra visada teisus.	God is always right.
Ei, ramiai.	Hey, relax.
Ji eina.	She walks.
Ji gali kalbėti.	She can speak.
Jis gali kalbėti.	He can speak.
Kaip ilgai tu čia būsi?	How long will you stay here?
Kaip jums sekasi, panele?	How are you doing, miss?
Kartais viskas eina blogai.	Sometimes everything goes wrong.
Kas eina su manim?	Who's coming with me?
Kas tie vaikinai?	Who are those guys?
Kur jos šeima?	Where is her family?
Kur mes esame?	Where are we?
Kur tu matei tas moteris?	Where did you see those women?
Mano draugas yra šalia manęs.	My friend is beside me.
Mes abu esame draugai.	We both are friends.
Nebus niekam.	I won't tell anyone.
Nesijaudink dėl to ką kiti sako.	Don't worry about what others say.
Nežinau kaip kiti, bet aš esu už.	I don't know about the others, but as for me, I'm for it.
Niekas negali žinoti visko.	Nobody can know everything.
Oho!	Wow!
Prašau atleiskite man.	Please forgive me.
Šį kartą turėtum tą padaryti pats.	This time you should do it by yourself.
Štai kodėl mes čia esame.	That's why we are here.
Štai šiek tiek vandens.	Here's some water.
Tai jos vaikinas.	That's her boyfriend.
Tu eik pirmas.	You go first.
Vaikinai, man reikia eiti.	Guys, I gotta go.
Viso gero.	Goodbye!
Yra aišku kad jis nenori su manimi kalbėti.	It's clear that he doesn't want to talk to me.
Žiūrėk man į akis.	Look into my eyes.
Ar aš graži?	Am I pretty?
Arba tu su mumis, arba prieš mus.	You are either with us, or against us.
Ar gali eiti su mumis?	Can you go with us?
Ar gali patikėti tuo, ką jis pasakė?	Can you believe what he said?
Ar gali tą rasti?	Can you find it?
Ar supratai ką jis pasakė?	Did you understand what he said?
Ar tu manai kad tai veikia?	Do you think it works?
Ar tu namie?	Are you at home?
Ar tu supratai ką jis norėjo pasakyti?	Did you understand what he wanted to say?
Ar tu tikrai mane myli?	Do you really love me?
Aš esu tavo brolis.	I'm your brother.
Aš galiu gyventi be vandens.	I can live without water.
Aš ją myliu, bet ji jį myli.	I love her but she loves him.
Aš ją myliu ir ji myli mane.	I love her and she loves me.
Aš jau tai padariau.	I have already done it.
Aš labai jums dėkoju.	I'm very grateful to you.
Aš mačiau ją prieš savaitę.	I saw her a week ago.
Aš negaliu be tavęs gyventi.	I can't live without you.
Aš negaliu čia tavęs tiesiog palikti.	I can't just leave you here.
Aš negaliu gyventi be tavęs.	I can't live without you.
Aš negaliu patikėti kad tu mane myli.	I can't believe that you love me.
Aš negaliu patikėti kad tu tikrai mane myli.	I can't believe that you're really in love with me.
Aš negaliu tuo patikėti!	I can't believe it!
Aš nenoriu gyventi su tavimi.	I don't want to live with you.
Aš neturiu šeimos.	I have no family.
Aš nežinau kelio namo.	I don't know the way home.
Aš noriu žinoti kas eina su mumis.	I want to know who is coming with us.
Aš radau vieną.	I found one.
Aš taip ją myliu kad aš negaliu jos palikti.	I love her so much that I can't leave her.
Aš turiu gyventi.	I have to live.
Aš turiu tą rasti.	I have to find it.
Aš visai nemanau kad tai yra keista.	I don't think it's weird at all.
Atsiprašau už tai, ką padariau.	I'm sorry for what I've done.
Dėkoju!	Thanks!
Jam tai pavyko.	He made it.
Jei gali, ateik su mumis.	If you can, come with us.
Ji atėjo?	Has she come?
Ji nagalėjo rasti kelio atgal.	She could not find her way back.
Jis atėjo.	He came.
Jis ją myli.	He loves her.
Jis mano geriausias draugas.	He is my best friend.
Jis yra mano brolis.	He is my brother.
Ji yra labai graži.	She's very pretty.
Jums patinka taip gyventi?	Do you enjoy living like that?
Jūs esate mano tėvas.	You are my father.
Jūs esate man viskas.	You are everything to me.
Ką aš padariau!	What I've done!
Kaip jis čia atėjo?	How did he come here?
Kaip keista!	How strange!
Kaip seniai tai buvo?	How long ago was that?
"Kam tai padarei?" - "Ką padariau?"	"Why did you do that?" "Do what?"
Kažkas atėjo.	Someone came.
Kokia tu graži!	How beautiful you are!
Kur aš galiu juos rasti?	Where can I find them?
Kurio tu nori?	Which one do you want?
Labai tau dėkoju.	Thank you very much!
Man ji atrodo labai graži.	I find her very pretty.
Man nepatinka kaip jis kalba.	I don't like the way he talks.
Man pavyko gauti tą ką aš norėjau.	I succeeded in getting what I wanted.
Mes esame namie.	We are home.
Metas eiti.	It's time to go.
Nė vienas iš jų nėra gyvas.	None of them is alive.
Niekada gyvenime!	Never in a lifetime!
Sakyk ką nori.	Say what you want.
Šiandien graži diena.	Today is a beautiful day.
Šis vyras yra gyvas.	This man is alive.
Šitas yra mums.	This one is for us.
Šiuo metu jo čia nėra.	He's not here right now.
Šiuo metu nieko negaliu pasakyti.	I can't say anything at this time.
Tai atsitiko labai seniai.	It happened a long time ago.
Tai įdomu.	That's interesting.
Tai keista, ar ne?	It's weird isn't it?
Tai yra geriausias dalykas pasaulyje.	This is the best thing on earth.
Tau patinka taip gyventi?	Do you enjoy living like that?
Tikriausiai ji myli tave.	She must love you.
Tu esi graži mergina.	You're a beautiful girl.
Visada sakyk tiesą.	Always tell the truth.
Žinau, kad tai buvo keista.	I know it was strange.
Ak, ačiū, mano brangioji.	Ah, thank you, my dear.
Ak, ačiū, mano mieloji.	Ah, thank you, my dear.
Ar ji tavo motina?	Is she your mother?
Ar jums nepatinka merginos?	Don't you like girls?
Ar tai vis dar toli nuo čia?	Is it still far from here?
Ar tau nepatinka merginos?	Don't you like girls?
Ar tavo motina namie?	Is your mother at home?
Ar tu žinai kur jis gyvena?	Do you know where he lives?
Aš esu didelis vaikas.	I'm a big child.
Aš jau pasiruošęs.	I'm already ready.
Aš manau, kad yra svarbu pasakyti tiesą.	I think it's important to tell the truth.
Aš nesu tavo motina.	I'm not your mother.
Aš nežinau, kas yra mano motina.	I don't know who my mother is.
Aš nežinau kur jis gyvena.	I don't know where he lives.
Aš noriu merginos.	I want a girlfriend.
Aš pasiruošęs.	I am ready.
Aš turiu pakankamai pinigų.	I have enough money.
Atsargiai!	Careful!
Beje, aš noriu tau kai ką pasakyti.	By the way, I have something to tell you.
Beje, kur jis gyvena?	By the way, where does he live?
Be problemų.	No problem.
Dėkui, aš viską supratau.	Thanks, I understood everything.
Dėkui, tai viskas.	Thanks, that's all.
Dėkui!	Thanks!
Dėl Dievo meilės!	For the love of God!
Ei tu, užsičiaupk!	Hey you, shut up!
Esu tikras kad jis yra pasiruošęs.	I'm certain that he has finished.
Galbūt tai ką tu pasakei yra tiesa.	Maybe what you said is true.
Iki kitų metų!	Until next year!
Jis buvo puikus žmogus.	He was a wonderful man.
Kad ir kaip būtų, tai ne tavo reikalas.	In any case, it's none of your business.
Ką po galais tu darai?	What the hell are you doing?
Kur tavo pinigai?	Where's your money?
Labai jums dėkui!	Thank you very much!
Labas, mano brangioji.	Hello, my dear.
Mes turime pakankamai vandens.	We have enough water.
Mums teks grįžti atgal.	We'll have to go back.
Ne, dėkui.	No, thanks.
Nemanau, kad tai svarbu.	I don't think it's important.
Nenoriu eiti dirbti šiandien.	I don't want to go to work today.
Noriu kad būtum čia.	I want you to be here.
Pagaliau viskas baigta.	It is finally all over.
Suprantu ką sakai.	I understand what you're saying.
Tai jai buvo labai svarbu.	She found it very important.
Tai ne mano reikalas!	It's none of my business!
Tai nėra svarbu.	It isn't important.
Taip, suprantu. Dėkui.	Yes, I understand. Thank you.
Ta mergina apie kurią aš tau sakiau gyvena čia.	The girl I told you about lives here.
Tas vyrukas yra mano draugas.	That guy's a friend of mine.
Tu esi puikus vaikinas.	You're a wonderful guy.
Tu turi daugiau dirbti.	You must work more.
Tu turi greitai dirbti.	You need to work fast.
Užsičiaupk!	Shut up!
Viskas baigta.	It's all over.
Vyrai turėtų dirbti.	Men should work.
Žmonės turėtų dirbti.	People ought to work.
Ak, ačiū, mano mielasis.	Ah, thank you, my dear.
Argi ne gražu?	Isn't it beautiful?
Argi ne laikas jau eiti namo?	Isn't it about time to go home?
Argi ne taip?	Isn't it so?
Argi ne tiesa kad tu turi ginklą?	Isn't it true that you own a gun?
Argi tai ne tiesa?	Isn't it true?
Ar jis iš tiesų tą padarė?	Did he really do that?
Ar supranti ką aš turiu omeny?	Do you understand what I mean?
Ar tu iš tiesų to nori?	Do you really want it?
Ar tu pasiruošęs išeiti?	Are you ready to go out?
Ar žinai kelią?	Do you know the way?
Ar žinote kelią?	Do you know the way?
Aš greitai grįšiu.	I will be back soon.
Aš ne apie tave kalbu.	I'm not talking about you.
Aš negaliu patikėti, kad aš iš tiesų esu čia.	I can't believe I'm actually here.
Aš negaliu suprasti kodėl jis tą padarė.	I can't understand why he did that.
Aš nenorėjau pinigų.	I didn't want the money.
Aš nenoriu niekam to sakyti.	I don't want to tell that to anyone.
Aš noriu išeiti.	I want to leave.
Aš padarysiu viską ką galiu.	I'll do everything I can.
Aš pasiruošęs išeiti.	I'm ready to leave.
Aš tą padarysiu.	I'll do it.
Aš ten eisiu.	I'll go there.
Aš turiu ją surasti.	I have to find her.
Aš turiu laiko, taigi aš tą padarysiu.	I have time, so I'll do it.
Aš turiu tris vaikus.	I have three children.
Aš visiškai negaliu suprasti ką tu pasakei.	I can't understand what you said at all.
Bent jau pasakyk man, kur tu eini.	At least tell me where you're going.
Berniukas nori žinoti tiesą.	The boy wants to know the truth.
Blogai jaučiuosi.	I feel unwell.
Būtent tą aš ir galvojau.	That's exactly what I thought.
Buvau per mažas.	I was too small.
Čia gražu.	It's beautiful here.
Čia šaunu.	It's great out here.
Dabar aš jaučiuosi geriau.	I'm in a better mood now.
Eini pirmas.	You go first.
Eini pirma.	You go first.
Galbūt aš eisiu, galbūt ne.	Maybe I'll go, and maybe I won't.
Gyventi be oro yra neįmanoma.	To live without air is impossible.
Iš tiesų, man tai labai patiko.	I actually liked it a lot.
Jaučiuosi gyvas.	I feel alive.
Jaučiuosi puikiai.	I feel great.
Ji negali suprasti kitų žmonių.	She can't understand other people.
Jis gali sakyti ką tik nori.	He can say whatever he wants.
Ji vis vien norėjo išeiti.	She wanted to go out anyway.
Kas yra svarbiausia gyvenime?	What's the most important in life?
Ką tu tuo turi omeny?	What do you mean by that?
Kitą kartą, aš padarysiu tą pati.	Next time, I'll do it myself.
Kitą kartą, aš padarysiu tą pats.	Next time, I'll do it myself.
Klausyk kol aš kalbu.	Listen while I talk.
Kokios jums reikia pagalbos?	What kind of help do you need?
Kokios pagalbos tau reikia?	What kind of help do you need?
Kokios tau reikia pagalbos?	What kind of help do you need?
Kur eini?	Where are you going?
Kuri komanda yra mūsų?	Which team is ours?
Kur, po galais, to eini?	Where the hell are you going?
Kur tu eini?	Where are you going?
Labai džiaugiuosi kad tave matau.	I'm very glad to see you.
Labai džiaugiuosi tave matyti.	I'm very glad to see you.
