Žiū̃rint į̃ jį̃, jį̃ gãlima palaikýti mergáite.	Žiūrint į jį, jį galima palaikyti mergaite.	To look at him, you'd take him for a girl.	mergaite	7	mergaitė	Ncfsin-
Ar̃ tìki méile ìš pìrmo žvil̃gsnio?	Ar tiki meile iš pirmo žvilgsnio?	Do you believe in love at first sight?	meile	2	meilė	Ncfsin-
Ar̃ tìkite méile ìš pìrmo žvil̃gsnio?	Ar tikite meile iš pirmo žvilgsnio?	Do you believe in love at first sight?	meile	2	meilė	Ncfsin-
Àš išmókau grotì gitarà kaĩ mán bùvo dẽšimt mẽtų.	Aš išmokau groti gitara kai man buvo dešimt metų.	I learned to play guitar when I was ten years old.	gitara	3	gitara	Ncfsin-
Àš paprašiaũ Tòmo grotì gitarà.	Aš paprašiau Tomo groti gitara.	I asked Tom to play the guitar.	gitara	4	gitara	Ncfsin-
Jì tãpo seselè.	Ji tapo sesele.	She became a nurse.	sesele	2	seselė	Ncfsin-
Mė́gstu grotì gitarà.	Mėgstu groti gitara.	I like to play guitar.	gitara	2	gitara	Ncfsin-
Norė́čiau taptì arbà daktarè, arbà seselè, arbà mókytoja.	Norėčiau tapti arba daktare, arba sesele, arba mokytoja.	I want to be a doctor or a nurse or a teacher.	sesele	6	seselė	Ncfsin-
Ròbertas mė́go kalbė́ti sù sàvo merginà.	Robertas mėgo kalbėti su savo mergina.	Robert enjoyed talking with his girlfriend.	mergina	5	mergina	Ncfsin-
Šiuõ metù Tòmas niẽkur nedìrba.	Šiuo metu Tomas niekur nedirba.	Tom isn't currently working anywhere.	metu	1	metas	Ncmsin-
Ar̃ mókate naudótis kompiùteriu?	Ar mokate naudotis kompiuteriu?	Do you know how to use a computer?	kompiuteriu	3	kompiuteris	Ncmsin-
Ar̃ mokì naudótis kompiùteriu?	Ar moki naudotis kompiuteriu?	Do you know how to use a computer?	kompiuteriu	3	kompiuteris	Ncmsin-
Jìs atvažiãvo automobiliù.	Jis atvažiavo automobiliu.	He came by car.	automobiliu	2	automobilis	Ncmsin-
Jìs mán pasãkė kàd àš galiù naudótis jõ automobiliù.	Jis man pasakė kad aš galiu naudotis jo automobiliu.	He told me that I could use his car.	automobiliu	8	automobilis	Ncmsin-
Kaĩ kuriẽ pasakýtų, kàd jìs žaĩdžia sù ugnimì.	Kai kurie pasakytų, kad jis žaidžia su ugnimi.	Some would say that he's playing with fire.	su	7	ugnis	Ncfsin-
Kar̃tais àš važiúoju autobusù, kar̃tais automobiliù.	Kartais aš važiuoju autobusu, kartais automobiliu.	Sometimes I go by bus and sometimes by car.	autobusu	3	autobusas	Ncmsin-
Kar̃tais àš važiúoju autobusù, kar̃tais automobiliù.	Kartais aš važiuoju autobusu, kartais automobiliu.	Sometimes I go by bus and sometimes by car.	automobiliu	6	automobilis	Ncmsin-
Kókiu kompiùteriu Tòmas naudójasi?	Kokiu kompiuteriu Tomas naudojasi?	What kind of computer does Tom use?	kompiuteriu	1	kompiuteris	Ncmsin-
Màno svajõnė ỹra taptì mókytoju.	Mano svajonė yra tapti mokytoju.	My dream is to become a teacher.	mokytoju	4	mokytojas	Ncmsin-
Nevadìnk manę̃s kvailiù!	Nevadink manęs kvailiu!	Don't call me an idiot!	kvailiu	2	kvailys	Ncmsin-
Nežaĩsk sù ugnimì.	Nežaisk su ugnimi.	Don't play with fire.	ugnimi	2	ugnis	Ncfsin-
Norė́čiau taptì mókytoju.	Norėčiau tapti mokytoju.	I'd like to be a teacher.	mokytoju	2	mokytojas	Ncmsin-
Pavojìnga žaistì sù ugnimì.	Pavojinga žaisti su ugnimi.	It's dangerous to play with fire.	ugnimi	3	ugnis	Ncfsin-
Ar̃ šiuõ metù ẽsate užsiė̃mę?	Ar šiuo metu esate užsiėmę?	Are you busy at the moment?	metu	2	metas	Ncmsin-
Kaĩp tù susipažinaĩ sù tuõ žmogumì?	Kaip tu susipažinai su tuo žmogumi?	How did you get to know that person?	žmogumi	5	žmogus	Ncmsin-
Kàs skam̃bina pianinù?	Kas skambina pianinu?	Who is playing the piano?	pianinu	2	pianinas	Ncmsin-
Šiojè šalyjè vidutìnis vaikų̃ skaĩčius šeĩmai nukrìto nuõ dviejų̃ ikì víeno sù pusè.	Šioje šalyje vidutinis vaikų skaičius šeimai nukrito nuo dviejų iki vieno su puse.	In this country the average number of children per family fell from 2 to 1.5.	puse	12	pusė	Ncfsin-
Tòmas važiúoja dvìračiu.	Tomas važiuoja dviračiu.	Tom is riding a bicycle.	dviračiu	2	dviratis	Ncmsin-
Àš išmókau važiúoti dvìračiu kaĩ mán bùvo šešerì.	Aš išmokau važiuoti dviračiu kai man buvo šešeri.	I learned how to ride a bike when I was six years old.	dviračiu	3	dviratis	Ncmsin-
Àš norė́čiau pasikalbė́ti sù Džonù.	Aš norėčiau pasikalbėti su Džonu.	I'd like to talk to John.	Džonu	4	Džonas	Npmsinf
Jìs didžiúojasi sàvo šeimà.	Jis didžiuojasi savo šeima.	He is proud of his family.	šeima	3	šeima	Ncfsin-
Jìs mė́gsta válgyti salotàs sù mėsà.	Jis mėgsta valgyti salotas su mėsa.	He likes to eat salad with meat.	mėsa	5	mėsa	Ncfsin-
Jìs nuspréndė taptì gýdytoju.	Jis nusprendė tapti gydytoju.	He made up his mind to be a doctor.	gydytoju	3	gydytojas	Ncmsin-
Katė̃ ỹra põ stalù.	Katė yra po stalu.	The cat is under the table.	stalu	3	stalas	Ncmsin-
Mẽs tikìme Dievù.	Mes tikime Dievu.	We believe in God.	Dievu	2	dievas	Ncmsin-
Šiuõ metù Tòmas móko ánglų kalbõs Japònijoje.	Šiuo metu Tomas moko anglų kalbos Japonijoje.	Tom currently teaches English in Japan.	metu	1	metas	Ncmsin-
Àš nuspréndžiau taptì advokatù.	Aš nusprendžiau tapti advokatu.	I decided to be a lawyer.	advokatu	3	advokatas	Ncmsin-
Àš sutikaũ sù šiuõ pasiū́lymu.	Aš sutikau su šiuo pasiūlymu.	I agreed to the proposal.	pasiūlymu	4	pasiūlymas	Ncmsin-
Àš teñ skrìsiu lėktuvù.	Aš ten skrisiu lėktuvu.	I will go there by plane.	lėktuvu	3	lėktuvas	Ncmsin-
Jì grójo gitarà, õ jìs dainãvo.	Ji grojo gitara, o jis dainavo.	She played the guitar and he sang.	gitara	2	gitara	Ncfsin-
Jìs bùvo apkáltintas žmogžudystè.	Jis buvo apkaltintas žmogžudyste.	He was accused of murder.	žmogžudyste	3	žmogžudystė	Ncfsin-
Jìs nesutìko sù màno pasiū́lymu.	Jis nesutiko su mano pasiūlymu.	He didn't agree to my proposal.	pasiūlymu	4	pasiūlymas	Ncmsin-
Jìs sutìko sù mū́sų pasiū́lymu.	Jis sutiko su mūsų pasiūlymu.	He accepted our offer.	pasiūlymu	4	pasiūlymas	Ncmsin-
Kaĩ atėjaũ namõ, màno sesuõ grójo gitarà.	Kai atėjau namo, mano sesuo grojo gitara.	When I came home, my sister was playing the guitar.	gitara	7	gitara	Ncfsin-
Kuriuõ metù išgirdaĩ šū̃vį?	Kuriuo metu išgirdai šūvį?	At what time did you hear the gunshot?	metu	1	metas	Ncmsin-
Negaliù giñčytis sù likimù.	Negaliu ginčytis su likimu.	One can't quarrel with destiny.	likimu	3	likimas	Ncmsin-
Norė́čiau pasikalbė́ti sù advokatù.	Norėčiau pasikalbėti su advokatu.	I want to speak to a lawyer.	advokatu	3	advokatas	Ncmsin-
Norė́čiau pasikalbė́ti sù sàvo advokatù.	Norėčiau pasikalbėti su savo advokatu.	I want to speak to my lawyer.	advokatu	4	advokatas	Ncmsin-
Ar̃ galiù tavè vadìnti Tomù?	Ar galiu tave vadinti Tomu?	May I call you Tom?	Tomu	4	tomas	Ncmsin-
Àš išsių̃siu knỹgą paštù.	Aš išsiųsiu knygą paštu.	I'll send the book by mail.	paštu	3	paštas	Ncmsin-
Àš kalbė́jausi sù Tomù.	Aš kalbėjausi su Tomu.	I talked to Tom.	Tomu	3	Tomas	Npmsinf
Àš kalbù sù Tomù.	Aš kalbu su Tomu.	I am talking with Tom.	Tomu	3	tomas	Ncmsin-
Àš supáiniojau tavè sù sàvo bróliu.	Aš supainiojau tave su savo broliu.	I mistook you for your brother.	broliu	5	brolis	Ncmsin-
Àš sutikaũ sù Tomù.	Aš sutikau su Tomu.	I agreed with Tom.	Tomu	3	Tomas	Npmsinf
Àš turbū́t tavè supáiniojau sù kitù màno draugù kurìs tùri tókį pãtį var̃dą!	Aš turbūt tave supainiojau su kitu mano draugu kuris turi tokį patį vardą!	I may have mistaken you with my other friend who has the same name!	draugu	7	draugas	Ncmsin-
Jì juõs teñ nùvežė automobiliù.	Ji juos ten nuvežė automobiliu.	She drove them there by car.	automobiliu	4	automobilis	Ncmsin-
Jõ tėvaĩ bùvo paténkinti jõ sėkmè.	Jo tėvai buvo patenkinti jo sėkme.	His parents were pleased with his success.	sėkme	5	sėkmė	Ncfsin-
Kadà tù susipažinaĩ sù Tomù?	Kada tu susipažinai su Tomu?	When did you get to know Tom?	Tomu	4	Tomas	Npmsinf
Mẽs sù Tomù netùrime jokių̃ paslapčių̃ víenas nuõ kìto.	Mes su Tomu neturime jokių paslapčių vienas nuo kito.	Tom and I have no secrets from each other.	Tomu	2	tomas	Ncmsin-
Vãkar pìrmą kar̃tą kalbė́jau sù Tomù prancū̃ziškai.	Vakar pirmą kartą kalbėjau su Tomu prancūziškai.	Yesterday was the first time I had spoken to Tom in French.	Tomu	5	Tomas	Npmsinf
Jìs apsìmetė màno draugù.	Jis apsimetė mano draugu.	He pretended to be my friend.	draugu	3	draugas	Ncmsin-
Kókiu maistù àš turė́čiau maitìnti sàvo šùnį?	Kokiu maistu aš turėčiau maitinti savo šunį?	What kind of food should I be feeding my dog?	maistu	1	maistas	Ncmsin-
Pažiūrė́k į̃ tą̃ nãmą sù raudónu stógu.	Pažiūrėk į tą namą su raudonu stogu.	Look at the house with the red roof.	stogu	6	stogas	Ncmsin-
Pažiūrė́kite į̃ tą̃ nãmą sù raudónu stógu.	Pažiūrėkite į tą namą su raudonu stogu.	Look at the house with the red roof.	stogu	6	stogas	Ncmsin-
Põ añtklode ỹra šil̃ta.	Po antklode yra šilta.	It's warm under the blanket.	antklode	1	antklodė	Ncfsin-
Polìcija apkáltino jį̃ žmogžudystè.	Policija apkaltino jį žmogžudyste.	The police accused him of murder.	žmogžudyste	3	žmogžudystė	Ncfsin-
Àš niekadà negė́riau arbãtos sù píenu.	Aš niekada negėriau arbatos su pienu.	I've never drank milk with tea.	pienu	5	pienas	Ncmsin-
Jái tuõ metù bùvo devyniólika.	Jai tuo metu buvo devyniolika.	She was 19 at the time.	metu	2	metas	Ncmsin-
Jìs nėrà paténkintas rezultatù.	Jis nėra patenkintas rezultatu.	He is unsatisfied with the result.	rezultatu	3	rezultatas	Ncmsin-
Jìs ỹra nepaténkintas rezultatù.	Jis yra nepatenkintas rezultatu.	He is unsatisfied with the result.	rezultatu	3	rezultatas	Ncmsin-
Nóriu būtì beĩsbolo žaidė́ju.	Noriu būti beisbolo žaidėju.	I want to be a baseball player.	žaidėju	3	žaidėjas	Ncmsin-
Nóriu kavõs sù píenu.	Noriu kavos su pienu.	I want coffee with milk.	pienu	3	pienas	Ncmsin-
Põ súolu ỹra katė̃.	Po suolu yra katė.	There is a cat under the desk.	suolu	1	suolas	Ncmsin-
Šiuõ metù Tòmas ỹra bedar̃bis.	Šiuo metu Tomas yra bedarbis.	Tom is currently unemployed.	metu	1	metas	Ncmsin-
Àš radaũ põrą pir̃štinių põ kėdè.	Aš radau porą pirštinių po kėde.	I found a pair of gloves under the chair.	kėde	5	kėdė	Ncfsin-
Àš tuõ metù buvaũ tìk septynerių̃ mẽtų mergáitė.	Aš tuo metu buvau tik septynerių metų mergaitė.	I was only a seven-year-old girl at that time.	metu	2	metas	Ncmsin-
Jìs susitiñka sù sàvo merginà šeštãdieniais.	Jis susitinka su savo mergina šeštadieniais.	He meets his girlfriend on Saturdays.	mergina	4	mergina	Ncfsin-
Jì ỹra apsė́sta vélniu.	Ji yra apsėsta velniu.	She is possessed by a devil.	velniu	3	velnias	Ncmsin-
Kàs pasirū́pins šunimì, kõl mẽs bū́sime išvỹkę?	Kas pasirūpins šunimi, kol mes būsime išvykę?	Who will take care of the dog while we are away?	šunimi	2	šuo	Ncmsin-
Màno draũgas pavadìno manè bailiù.	Mano draugas pavadino mane bailiu.	My friend called me a coward.	bailiu	4	bailys	Ncmsin-
Màno svajõnė liẽka svajonè.	Mano svajonė lieka svajone.	My dream is still just a dream.	svajone	3	svajonė	Ncfsin-
Mèrė nóri taptì advokatè.	Merė nori tapti advokate.	Mary wants to be a lawyer.	advokate	3	advokatė	Ncfsin-
Niekadà nègeriu arbãtos sù citrinà.	Niekada negeriu arbatos su citrina.	I never drink tea with lemon.	citrina	4	citrina	Ncfsin-
Prašýčiau arbãtos sù citrinà.	Prašyčiau arbatos su citrina.	A tea with lemon, please.	citrina	3	citrina	Ncfsin-
Taĩ ỹra põ kėdè.	Tai yra po kėde.	It is under the chair.	kėde	3	kėdė	Ncfsin-
Ateitìs priklaũso tíems, kuriẽ tìki sàvo svajõnių grožiù.	Ateitis priklauso tiems, kurie tiki savo svajonių grožiu.	The future belongs to those who believe in the beauty of their dreams.	grožiu	8	grožis	Ncmsin-
Jì tãpo ãktore.	Ji tapo aktore.	She became an actress.	aktore	2	aktorė	Ncfsin-
Kaĩ àš užáugsiu, àš nóriu būtì karãliumi.	Kai aš užaugsiu, aš noriu būti karaliumi.	When I grow up, I want to be a king.	karaliumi	7	karalius	Ncmsin-
Laisvãlaikiu labiáusiai mė́gstu váikščioti pakránte.	Laisvalaikiu labiausiai mėgstu vaikščioti pakrante.	My favorite pastime is strolling along the shore.	Laisvalaikiu	0	laisvalaikis	Ncmsin-
Laisvãlaikiu labiáusiai mė́gstu váikščioti pakránte.	Laisvalaikiu labiausiai mėgstu vaikščioti pakrante.	My favorite pastime is strolling along the shore.	pakrante	4	pakrantė	Ncfsin-
Mẽs vadìname Niujòrką Didžiúoju óbuoliu.	Mes vadiname Niujorką Didžiuoju obuoliu.	We call New York the Big Apple.	obuoliu	4	obuolys	Ncmsin-
Nepasitikė́k žmogumì, apiẽ kuriõ prãeitį tù niẽko nežinaĩ.	Nepasitikėk žmogumi, apie kurio praeitį tu nieko nežinai.	Don't trust a man whose past you know nothing about.	žmogumi	1	žmogus	Ncmsin-
Patalpõs plótas ỹra dù sù pusè kvadrãtinių mètrų.	Patalpos plotas yra du su puse kvadratinių metrų.	The room's area is two and half square meters.	puse	5	pusė	Ncfsin-
Tòmas apsimetinė́jo Mèrės draugù.	Tomas apsimetinėjo Merės draugu.	Tom pretended to be Mary's friend.	draugu	3	draugas	Ncmsin-
Tòmas gãli susisíekti sù Merè elektròniniu paštù.	Tomas gali susisiekti su Mere elektroniniu paštu.	Tom can get in touch with Mary by email.	Mere	4	merė	Ncfsin-
Tòmas gãli susisíekti sù Merè elektròniniu paštù.	Tomas gali susisiekti su Mere elektroniniu paštu.	Tom can get in touch with Mary by email.	paštu	6	paštas	Ncmsin-
Àš pàsekiau mótinos pãvyzdžiu.	Aš pasekiau motinos pavyzdžiu.	I followed my mother's example.	pavyzdžiu	3	pavyzdys	Ncmsin-
Àš susirgaũ gripù.	Aš susirgau gripu.	I got the flu.	gripu	2	gripas	Ncmsin-
Atsisė́skite dár kar̃tą, panelè Kùrtis.	Atsisėskite dar kartą, panele Kurtis.	Sit down again, Miss Curtis.	panele	4	panelė	Ncfsin-
Bejè, ar̃ tù gróji smuikù?	Beje, ar tu groji smuiku?	By the way, do you play the violin?	smuiku	5	smuikas	Ncmsin-
Jìs atvažiãvo į̃ Tòkiją sù dìdele svajonè.	Jis atvažiavo į Tokiją su didele svajone.	He came up to Tokyo with a big dream.	svajone	6	svajonė	Ncfsin-
Jìs bùvo kareiviù kãro metù.	Jis buvo kareiviu karo metu.	He was a soldier during the war.	kareiviu	2	kareivis	Ncmsin-
Jìs bùvo kareiviù kãro metù.	Jis buvo kareiviu karo metu.	He was a soldier during the war.	metu	4	metas	Ncmsin-
Jìs pasinaudójo màno jaunumù.	Jis pasinaudojo mano jaunumu.	He took advantage of my youth.	jaunumu	3	jaunumas	Ncmsin-
Káimą sù mū́sų miestù sujùngia tìltas.	Kaimą su mūsų miestu sujungia tiltas.	The village is connected with our town by a bridge.	miestu	3	miestas	Ncmsin-
Kuriuõ metù išgir̃dote šū̃vį?	Kuriuo metu išgirdote šūvį?	At what time did you hear the gunshot?	metu	1	metas	Ncmsin-
Nepáiniok Áustrijos sù Austrãlija.	Nepainiok Austrijos su Australija.	Don't confuse Austria with Australia.	Australija	3	Australija	Npfsing
Stovė́jome véidu į̃ véidą sù mirtimì.	Stovėjome veidu į veidą su mirtimi.	We stood face to face with death.	veidu	1	veidas	Ncmsin-
Stovė́jome véidu į̃ véidą sù mirtimì.	Stovėjome veidu į veidą su mirtimi.	We stood face to face with death.	mirtimi	5	mirtis	Ncfsin-
Jìs pabañdė nusižudýti, bèt taĩ baĩgėsi nẽsėkme.	Jis pabandė nusižudyti, bet tai baigėsi nesėkme.	He tried to kill himself but it ended in failure.	nesėkme	7	nesėkmė	Ncfsin-
Jõ bañdymas baĩgėsi nẽsėkme.	Jo bandymas baigėsi nesėkme.	His attempt ended in failure.	nesėkme	3	nesėkmė	Ncfsin-
Mẽs negalė́jome naudótis čiáupu nès jìs nèveikė.	Mes negalėjome naudotis čiaupu nes jis neveikė.	We couldn't use the faucet because it was out of order.	čiaupu	3	čiaupas	Ncmsin-
